FormID, EditorID, Data
0x00003411,"fPerkGrenadeTrajectoryAimDistance","117.000000"
0x00003412,"fPerkGrenadeTrajectoryStartOffsetX","-0.600000"
0x00003413,"fPerkGrenadeTrajectoryStartOffsetY","0.020000"
0x00003414,"fPerkGrenadeTrajectoryStartOffsetZ","0.020000"
0x00003415,"fSubmergedLODDistance","5.486400"
0x00003416,"fSubmergedMaxWaterDistance","0.685800"
0x00003417,"fDeathSoundMaxDistance","14.287500"
0x00003418,"fExplosionLOSBuffer","0.042900"
0x00003419,"fExplosionLOSBufferDistance","0.342900"
0x0000341A,"fExplosionDecalMinObjectSize","0.600000"
0x0000341B,"fHazardDropMaxDistance","14.630401"
0x0000341C,"fZKeyMaxContactDistance","0.142900"
0x0000341D,"fCameraShakeDistMin","4.286250"
0x0000341E,"fCameraShakeDistFadeStart","28.575001"
0x0000341F,"fCameraShakeDistFadeDelta","35.718750"
0x00003420,"fDistanceAutomaticallyActivateDoor","3.571875"
0x00003421,"fDistanceFadeActorAutoLoadDoor","2.143125"
0x00003422,"fPerkComponentRadarCheckDistance","2.743200"
0x00003423,"fPerkComponentRadarDeactivateDistance","1.371600"
0x00003425,"fMagicTelekinesisMoveBase","0.714375"
0x00003426,"fMagicTelekinesisMoveAccelerate","5.715000"
0x00003427,"fMagicTelekinesisMoveMax","14.287500"
0x00003428,"fMagicTelekinesisThrow","14.287500"
0x00003429,"fMagicTelekinesisMaxForce","14.287500"
0x0000342A,"fMagicTelekinesisComplexMaxForce","14.287500"
0x0000342B,"fMagicTelekinesisThrowMax","0.428625"
0x0000342C,"fMagicTelekinesisThrowAccelerate","0.142875"
0x0000342D,"fSummonedCreatureSearchRadius","7.315200"
0x0000342E,"fMagicBarrierSpacing","0.357188"
0x0000342F,"fMagicBarrierHeight","7.143750"
0x00003430,"fMagicBarrierDepth","0.428625"
0x00003431,"fSummonDistanceCheckThreshold","10.715626"
0x00003432,"fFloatQuestMarkerMinDistance","117.000000"
0x00003433,"fFloatQuestMarkerFloatHeight","0.285750"
0x0000343B,"fSurvivalCompassLocationMaxDist","1200.000000"
0x00003444,"fPowerArmorWorkbenchMaxPowerArmorDistance","7.143750"
0x00003445,"fDoorMarkerDisplayHeight","0.914400"
0x00003447,"fQuestMarkerZDiffThreshold","3.571875"
0x00003A82,"fJumpFallDamageMult","0.003300"
0x0000484C,"fEyeDownMaximumSaccadeDegrees","-5.000000"
0x0000484D,"fEyeForceBlinkMaxTime","6.000000"
0x0000484E,"fEyeUpMaximumSaccadeDegrees","3.500000"
0x0000495E,"fCalendarTimeScaleGround","15.000000"
0x0000495F,"fCargoValuePiracyScale","0.001000"
0x00004960,"fAIPursueDistanceMin","2.500000"
0x00004D87,"fWorkshopMinimumSnapReferenceDistance","0.500000"
0x000060BE,"fCombatRangedGunChargeFireTimeMult","3.000000"
0x00009A27,"fCombatConfidenceModifierMax","1.000000"
0x00009A28,"fCombatConfidenceModifierMin","-0.250000"
0x0000A778,"fChargenCamOffset","-0.010000"
0x0000BC69,"sMiscStatSnowGlobesCollected","Snow Globes Collected"
0x0000C167,"fEyeUpDownOffsetAtNeutralDegrees","2.000000"
0x00011F27,"fRoomLightingTransitionDuration","1.500000"
0x00012FC9,"fSunXExtreme","8.572500"
0x00012FCB,"fSunYExtreme","-4.643438"
0x000130FE,"fShieldBaseFactor","0.450000"
0x000136A5,"sBloodSplatterAlpha01OPTFilename","Textures\Blood\ScreenBloodAlpha01OPT.dds"
0x000136A6,"sBloodSplatterColor01OPTFilename","Textures\Blood\ScreenBloodColor01OPT.dds"
0x000136A7,"sBloodSplatterFlare01Filename","Textures\Blood\FXBloodFlare.dds"
0x000137DD,"fWeaponBloodFadeDuration","60.000000"
0x000137DF,"fWeaponBloodLifetime","10.000000"
0x000137E0,"fDeathForceRangedForceMin","15.000000"
0x000137E1,"fDeathForceRangedForceMax","24.000000"
0x000137E2,"fDeathForceRangedDamageMin","1.000000"
0x000137E3,"fDeathForceRangedDamageMax","50.000000"
0x000137E4,"fDeathForceForceMin","4.000000"
0x000137E5,"fDeathForceForceMax","12.000000"
0x000137E6,"fDeathForceDamageMax","40.000000"
0x0001402F,"fShoutTime1","0.200000"
0x00014030,"fShoutTime2","0.900000"
0x000141F4,"fAIInDialogueModewithPlayerTimer","30.000000"
0x000142EC,"fExplodeLimbRemovalDelayVATS","0.000000"
0x000142ED,"fVATSCameraCutAwayDistance","0.285750"
0x000142EE,"fVATSCameraDollyMin","2.857500"
0x000142EF,"fVATSCameraDollyTime","0.380000"
0x000142F1,"fVATSDOFRange","7.143750"
0x000142F2,"fVATSH2HWarpDistanceMult","0.800000"
0x000142F3,"fVATSMeleeWarpDistanceMult","0.685000"
0x000142F8,"fVATSPlayerDamageMult","0.100000"
0x000142FD,"fVATSRangeSpreadMax","3.000000"
0x000142FE,"fVATSRangeSpreadUncertainty","0.700000"
0x00014301,"fVATSSmartCameraCheckStepDistance","0.585788"
0x00014302,"fVATSStrangerDistance","3.657600"
0x00014303,"fVATSSpreadMult","0.500000"
0x00014304,"iVATSStrangerMaxHP","150"
0x00014C2E,"fSpaceshipJumpCalculationMultiplier","0.125000"
0x00015BB0,"fAIShoutToleranceDegrees","5.000000"
0x00016945,"fSummonedCreatureMinFollowDist","3.571875"
0x00016948,"fSummonedCreatureMaxFollowDist","5.715000"
0x000179D3,"fSpaceArrivalToLandDistance","-100.000000"
0x00017BFC,"fAICommentWaitingForPlayerInput","45.000000"
0x00017E3C,"fConfidenceAverage","0.333000"
0x00017E3F,"fConfidenceBrave","0.075000"
0x00017E40,"fConfidenceCautious","0.750000"
0x000188CB,"iSpeechChallengeCriticalSuccessPer","3"
0x00018D02,"fCombatConditionRegenRateMult","0.200000"
0x00018D03,"fDamagedConditionRegenDelay","30.000000"
0x00018D04,"fConditionRegenDelayMax","60.000000"
0x00018F30,"fEyeMaxLeftRightPerSecondDegrees","5.000000"
0x00018F31,"fEyeMaxUpDownPerSecondDegrees","4.000000"
0x00018F32,"fTimeBetweenHeadtrackSelectAndEyeMove","0.100000"
0x00018F33,"fEyeAnimUpMult","0.750000"
0x00018F34,"fEyeAnimDownMult","-0.750000"
0x00018F35,"fEyeAnimLeftRightMult","0.750000"
0x00018FE9,"sWorkshopBeaconPlacement_InvalidLocation","Cannot place outpost: Location is invalid."
0x00019023,"fDialogueMenuFOV","80.000000"
0x00019024,"fDialogueMenuPlayerSlowDownMult","1.000000"
0x00019025,"fDialogueChangeRateFOV","0.200000"
0x00019026,"fDialogueFirstMenuFOV","70.000000"
0x000191EA,"fFaceFXMouthAdjust","-0.050000"
0x00019202,"fFaceFXSpeechBlendOutTime","-0.260000"
0x00019203,"fFaceFXSpeechBlendInTime","0.260000"
0x00019205,"fEyeLeftRightMaximumSaccadeDegrees","3.500000"
0x000195A6,"fAISocialchanceForConversation","100.000000"
0x000195A7,"fAISocialRadiusToTriggerConversationInterior","21.428499"
0x000195A8,"fAISocialTimerForConversationsMax","90.000000"
0x000195A9,"fAISocialTimerForConversationsMin","45.000000"
0x00019FFC,"fMagicWardPowerMaxBase","1.300000"
0x00019FFD,"fMagicWardPowerMaxMult","0.000000"
0x0001A154,"fAIDefaultSpeechMult","0.150000"
0x0001A155,"fAISocialchanceForConversationInterior","100.000000"
0x0001A156,"fAIUseWeaponDistance","214.312515"
0x0001A15B,"fAutoAimMaxDegrees","1.000000"
0x0001A15C,"fAutoAimMaxDistance","4000.000000"
0x0001A15F,"fAutoAimScreenPercentage","6.000000"
0x0001A166,"fBlinkDownTime","0.060000"
0x0001A167,"fBlinkUpTime","0.120000"
0x0001A168,"fBlockAmountWeaponMult","1.000000"
0x0001A169,"fBlockMax","0.700000"
0x0001A16A,"fBlockSkillMult","2.000000"
0x0001A16B,"fBloodSplatterDuration","20.000000"
0x0001A16C,"fBloodSplatterFadeStart","0.400000"
0x0001A16D,"fBloodSplatterFlareMult","0.950000"
0x0001A16E,"fBloodSplatterFlareOffsetScale","0.450000"
0x0001A16F,"fBloodSplatterFlareSize","0.065000"
0x0001A170,"fBloodSplatterMaxOpacity","1.000000"
0x0001A171,"fBloodSplatterMaxOpacity2","0.600000"
0x0001A172,"fBloodSplatterMaxSize","0.180000"
0x0001A173,"fBloodSplatterMinOpacity","0.500000"
0x0001A174,"fBloodSplatterMinOpacity2","0.300000"
0x0001A175,"fBloodSplatterMinSize","0.120000"
0x0001A176,"fBloodSplatterOpacityChance","0.300000"
0x0001A17A,"fCombatDamageBonusSneakingMult","1.000000"
0x0001A17D,"fCombatDialogueAttackMaxElapsedTime","5.000000"
0x0001A186,"fCombatFollowRadiusMult","3.000000"
0x0001A187,"fCombatItemRestoreTimer","3.000000"
0x0001A188,"fCombatPlayerLimbDamageMult","1.000000"
0x0001A190,"fCombatSpeakAttackChance","1.000000"
0x0001A191,"fCombatSpeakHitChance","0.150000"
0x0001A192,"fCombatSpeakHitThreshold","0.300000"
0x0001A193,"fCombatTeammateFollowRadiusMult","3.000000"
0x0001A195,"fCombatThreatRatioUpdateTime","1.000000"
0x0001A197,"fCommentOnPlayerActionsTimer","20.000000"
0x0001A198,"fConcussionTimer","40.000000"
0x0001A199,"fDamageGunWeapCondBase","0.660000"
0x0001A19A,"fDamageGunWeapCondMult","0.340000"
0x0001A19B,"fDamageMeleeWeapCondBase","0.500000"
0x0001A19C,"fDamageMeleeWeapCondMult","0.500000"
0x0001A1A4,"fDeathForceDamageMin","1.000000"
0x0001A1A6,"fDiffMultXPH","1.000000"
0x0001A1A7,"fDiffMultXPVH","1.000000"
0x0001A1A8,"fExplodeLimbRemovalDelay","0.030000"
0x0001A1A9,"fExplosionForceMultAngular","1.000000"
0x0001A1AA,"fExplosionForceMultLinear","1.000000"
0x0001A1AB,"fExplosionImageSpaceSwapPower","0.750000"
0x0001A1AC,"fExplosionSourceRefMult","3.000000"
0x0001A1AD,"fExplosionSplashRadius","3.571875"
0x0001A1AE,"fExplosionWaterRadiusRatio","0.100000"
0x0001A1B2,"fFollowSpaceBetweenFollowers","2.743200"
0x0001A1B3,"fGameplayImpulseMultBiped","0.600000"
0x0001A1B4,"fGameplayImpulseMultClutter","0.600000"
0x0001A1B5,"fGameplayImpulseMultDebrisLarge","1.000000"
0x0001A1B6,"fGameplayImpulseMultProp","1.000000"
0x0001A1B7,"fGrenadeFriction","5.000000"
0x0001A1B8,"fGrenadeRestitution","0.010000"
0x0001A1B9,"fGuardPackageAttackRadiusMult","0.500000"
0x0001A1BA,"fGunParticleCameraDistance","29.260801"
0x0001A1BB,"fGunShellDirectionRandomize","0.450000"
0x0001A1BC,"fGunShellEjectSpeed","2.286000"
0x0001A1C9,"fIronSightsDOFRange","400.000000"
0x0001A1CB,"fIronSightsGunMotionBlur","0.000000"
0x0001A1CC,"fIronSightsMotionBlur","0.000000"
0x0001A1D1,"fJumpFallHeightMin","8.572500"
0x0001A1D2,"fJumpFallVelocityMin","10.001250"
0x0001A1D3,"fJumpSwimmingMult","2.000000"
0x0001A1D6,"fKnockbackForceMax","1.828800"
0x0001A1D7,"fKnockdownCurrentHealthThreshold","50.000000"
0x0001A1D9,"fLeveledActorMultEasy","0.400000"
0x0001A1DA,"fLeveledActorMultHard","1.000000"
0x0001A1DB,"fLeveledActorMultMedium","0.700000"
0x0001A1DC,"fLevelScalingMult","1.000000"
0x0001A1DD,"fMagicAreaScaleMax","100.000000"
0x0001A1DE,"fMagicAreaScaleMin","2.500000"
0x0001A1E4,"fMineExteriorRadiusMult","1.600000"
0x0001A1E5,"fMinesDelayMin","0.200000"
0x0001A1F6,"fPlayerDetectActorValue","-30.000000"
0x0001A1F7,"fProjectileInventoryGrenadeFreakoutTime","0.100000"
0x0001A1F8,"fProjectileInventoryGrenadeTimer","2.000000"
0x0001A1F9,"fProjectileKnockMultBiped","0.250000"
0x0001A1FA,"fRepairSkillMax","10.000000"
0x0001A1FB,"fSandboxDurationMultFurniture","3.000000"
0x0001A1FC,"fSandboxDurationMultIdleMarker","1.500000"
0x0001A1FF,"fSneakActionMult","1.000000"
0x0001A200,"fSneakAmbushNonTargetMod","0.000000"
0x0001A204,"fSneakExteriorDistanceMult","1.250000"
0x0001A205,"fSneakLightMult","1.000000"
0x0001A207,"fSneakRunningMult","2.000000"
0x0001A208,"fSneakSkillMult","0.500000"
0x0001A209,"fSneakSoundLosMult","0.400000"
0x0001A20B,"fSplashSoundHeavy","35.000000"
0x0001A20C,"fSplashSoundMedium","20.000000"
0x0001A20F,"fVATSCamTransRBStart","0.500000"
0x0001A210,"fVATSCamTransRBStrengthCap","0.500000"
0x0001A211,"fVATSDistanceFactor","2.000000"
0x0001A215,"fVATSScreenPercentFactor","1.000000"
0x0001A21E,"fWarningTimer","5.000000"
0x0001A21F,"fWeaponConditionJam1","0.000000"
0x0001A220,"fWeaponConditionJam2","0.000000"
0x0001A221,"fWeaponConditionJam3","0.000000"
0x0001A222,"fWeaponConditionJam4","0.000000"
0x0001A223,"fWeaponConditionRateOfFire1","0.820000"
0x0001A224,"fWeaponConditionRateOfFire2","0.840000"
0x0001A225,"fWeaponConditionRateOfFire3","0.860000"
0x0001A226,"fWeaponConditionRateOfFire4","0.880000"
0x0001A227,"fWeaponConditionRateOfFire5","0.900000"
0x0001A228,"fWeaponConditionRateOfFire6","0.920000"
0x0001A229,"fWeaponConditionRateOfFire7","0.940000"
0x0001A22A,"fWeaponConditionRateOfFire8","0.960000"
0x0001A22B,"fWeaponConditionRateOfFire9","0.980000"
0x0001A22C,"fWeaponConditionSpread1","0.000000"
0x0001A22D,"fWeaponConditionSpread2","0.000000"
0x0001A22E,"fWeaponConditionSpread3","0.000000"
0x0001A22F,"fWeaponConditionSpread4","0.000000"
0x0001A230,"fWeaponConditionSpread5","0.000000"
0x0001A231,"fWeaponConditionSpread6","0.000000"
0x0001A232,"fWeaponConditionSpread7","0.000000"
0x0001A233,"fWeaponConditionSpread8","0.000000"
0x0001A234,"fWeaponConditionSpread9","0.000000"
0x0001A237,"iAICombatRestoreHealthPercentage","60"
0x0001A238,"iBloodSplatterMaxCount","25"
0x0001A23C,"iDeathDropWeaponChance","100"
0x0001A23E,"iGuardWarnings","2"
0x0001A244,"iMineDisarmExperience","5"
0x0001A245,"iProjectileMineShooterCanTrigger","0"
0x0001A247,"iSoundLevelSilent","10"
0x0001A259,"iXPRewardDiscoverMapMarker","20"
0x0001A760,"fMagicTelekinesisDistanceMin","0.914400"
0x0001A83A,"iAISocialDistanceToTriggerEvent","200"
0x0001AB44,"fAIButtonDelayOnInterrupt","0.250000"
0x0001AC6D,"fFlyingActorDefaultTurningSpeed","1.570800"
0x0001B28F,"iFlyMountedFastTravelPreferredSpeed","1"
0x0001C0C4,"fBlinkHoldTime","0.060000"
0x0001C216,"sDismemberParticleDefault",""
0x0001C217,"sDismemberRobotParticleDefault",""
0x0001C218,"sImpactParticleConcreteDefault",""
0x0001C219,"sImpactParticleMetalDefault",""
0x0001C21A,"sImpactParticleWoodDefault",""
0x0001F71D,"fPowerAttackOxygenPenalty","4.000000"
0x0001F982,"fAIHelloTimer","30.000000"
0x000207D4,"fVATSImageSpaceTransitionTime","0.050000"
0x00021A73,"iAVDhmsLevelUp","5"
0x00021B3B,"iSoundLevelNormal","70"
0x00023601,"fGunPlayerRelaxedWaitTime","10.000000"
0x00023718,"fAIBestSceneHeadTrackDistance","6.250000"
0x00023719,"fAIMaxHeadSceneTrackDistanceWhileMoving","10.000000"
0x0002371A,"fAIMaxSceneHeadTrackDistance","5.000000"
0x0002371B,"fAIMaxSceneHeadTrackDistanceFar","37.500000"
0x00023BB9,"fNPCHealthLevelBonus","20.000000"
0x00023C0B,"fLeveledActorMultVeryHard","1.250000"
0x00023D68,"fAIInDialogueModeSlowDownPlayerDistance","4.286250"
0x00024CA5,"bBoostpackInitialThrustOnlyOnTakeoff","0"
0x00024CB4,"fBoostpackFallingThrustMult","40.000000"
0x00024CB6,"fBoostpackHorizontalDragCoefficient","0.250000"
0x00024CB7,"fBoostpackHorizontalInputTrigger","0.500000"
0x00024CC1,"fBoostpackHorizontalPercentage","0.600000"
0x00024CC4,"fBoostpackHorizontalVelocityTrigger","1.000000"
0x0002509B,"fShipDetectionWeaponFiringMult","25.000000"
0x00028705,"fTeleportDoorActivateDelayTimer","0.600000"
0x00029677,"fAimModelConeIronSightsSingleCrippledLimbMult","1.000000"
0x00029679,"fAimModelConeIronsightsMultipleCrippledLimbMult","1.000000"
0x00029691,"fAimModelMaxConeSingleCrippledLimbMult","1.500000"
0x0002969A,"fAimModelMaxConeMultipleCrippledLimbMult","3.000000"
0x0002969B,"fAimModelMinConeSingleCrippledLimbMult","1.500000"
0x0002969C,"fAimModelMinConeMultipleCrippledLimbMult","3.000000"
0x0002969D,"fAimModelRecoilMaxDegSingleCrippledLimbMult","1.500000"
0x0002969E,"fAimModelRecoilMaxDegMultipleCrippledLimbMult","2.000000"
0x0002969F,"fAimModelRecoilMinDegSingleCrippledLimbMult","1.500000"
0x000296A0,"fAimModelRecoilMinDegMultipleCrippledLimbMult","2.000000"
0x0002A37E,"fAIInDialogueModeWithPlayerDistance","3.571875"
0x0002A381,"fAIForceGreetingTimer","3.000000"
0x0002A385,"sBloodTextureDefault","Blood\DecalsBloodSplatterBlend01.dds"
0x0002A7A2,"fAimCrippleWobbleIronSightMult","0.100000"
0x0002A7A3,"fAimCrippleWobbleScopeMult","0.100000"
0x0002A7A4,"fAimCrippleWobbleSingleLimb","0.500000"
0x0002B008,"fAimModelRecoilArcDegSingleCrippledLimbMult","1.000000"
0x0002B00B,"fAimModelRecoilArcDegMultipleCrippledLimbMult","1.500000"
0x0002B364,"iFavorConfidantValue","50"
0x0002B365,"iFavorAllyValue","100"
0x0002B366,"iFavorLoverValue","500"
0x0002B3AE,"fHandScannerScanRangeSkillMult","10.000000"
0x0002C193,"fMinimumMapMarkerTargetDistance","18000.000000"
0x0002C5B2,"iFavorPointsRestore","0"
0x0002C890,"fCombatDetectionDialogueAlertLostMinSearchTime","3.000000"
0x0002DF93,"fInvisibilityMaxRefraction","0.950000"
0x0002E388,"fTargetingModeDestructionTimeHoldTime","0.015000"
0x0002E389,"fTargetingModeDestructionTimeModifier","0.350000"
0x0002EBE4,"iCalcLevelAdjustDown","0"
0x0002EBE5,"iCalcLevelAdjustUp","0"
0x0002F200,"fSubtitleSpeechDelay","8.000000"
0x0002F579,"sAddCrimeGold","bounty added to"
0x0002F57A,"sRemoveCrimeGold","bounty removed from"
0x000300FD,"fTargetingModeTimeScale","0.650000"
0x00031899,"fPowerAttackDefaultBonus","1.000000"
0x0003189A,"fShieldBashMax","0.250000"
0x0003189B,"fShieldScalingFactor","0.200000"
0x000319E8,"fConeProjectileEnvironmentDistance","0.750000"
0x00033202,"fAimModelPlayerMovementIronSightsConeMult","2.000000"
0x00035056,"fCombatHealthRegenRateMult","0.000000"
0x00035331,"fFurnitureMarkerAngleTolerance","10.000000"
0x00035789,"fCombatSpeakTauntChance","1.000000"
0x000361F4,"fMagicDualCastingCostMult","2.800000"
0x000361F5,"fMagicDualCastingTimeMult","1.000000"
0x000361F6,"fMagicDualCastingEffectivenessBase","2.200000"
0x000364A3,"fPhysicsDamage3Damage","100.000000"
0x00036574,"fVATSTimeMultTargetSelect","0.040000"
0x00036DDB,"fSneakAmbushTargetMod","0.500000"
0x000371A7,"fSneakLargeActorDistanceMult","1.000000"
