FormID, EditorID, Name, Data1, Data2, Data3, Data4, Data5, Data6, Data7
0x00092D55, "BoostpackEnchantment_PowerBoost", "Power Boost Boostpack", "0", "0", "0", "393216", "0", "0", "0"
0x000941F9, "Ench_Legendary_Helmet_DetectLife", "Ench_Legenadary_Helmet_DetectLife", "0", "0", "0", "393216", "0", "0", "0"
0x000A5755, "Ench_DisableBoostpack", "Disable Boostpack", "0", "4", "1", "393472", "0", "0", "0"
0x000A9002, "Ench_LegendaryWeapon_Lacerate", "Lacerate", "0", "4", "1", "393472", "0", "0", "0"
0x000BE545, "Ench_Legendary_Armor_CarryWeight", "Ench_Legendary_Armor_CarryWeight", "0", "0", "0", "393216", "0", "0", "0"
0x000BE549, "OLD_Ench_Legendary_Armor_LessDMGStandStill", "Ench_Legendary_Armor_LessDamageStandStill", "0", "0", "0", "393216", "0", "0", "0"
0x000C9A42, "Ench_Legendary_Armor_AutoHeal", "Ench_Legendary_Armor_AutoHeal", "0", "0", "0", "393216", "0", "0", "0"
0x000E8D63, "Ench_LegendaryWeapon_Staggering", "Stagger", "0", "0", "1", "393472", "0", "0", "0"
0x000EA0B8, "Ench_LegendaryWeapon_Handloading", "Handloading", "0", "0", "0", "393216", "0", "0", "0"
0x000EA115, "Ench_LegendaryWeapon_Furious", "Furious", "0", "0", "0", "393216", "0", "0", "0"
0x000F1C40, "Ench_LegendaryWeapon_MedTheft", "Med-Theft", "0", "0", "0", "393216", "0", "0", "0"
0x000F2014, "Ench_LegendaryWeapon_Instigating", "Instigating", "0", "0", "0", "393216", "0", "0", "0"
0x000F2E37, "Ench_LegendaryWeapon_Crippling", "Crippling", "0", "0", "0", "393216", "0", "0", "0"
0x000F4338, "Ench_LegendaryWeapon_Cornered", "Cornered", "0", "0", "0", "393216", "0", "0", "0"
0x000F4558, "ench_LegendaryWeapon_Shattering", "Shattering", "0", "0", "0", "393216", "0", "0", "0"
0x000F7320, "Ench_LegendaryWeapon_SpaceAdept", "Space-Adept", "0", "0", "0", "393216", "0", "0", "0"
0x000FAEAC, "Ench_LegendaryWeapon_Oxygenated", "Oxygenated", "0", "0", "0", "393216", "0", "0", "0"
0x000FBD3B, "Ench_LegendaryWeapon_Concussive", "Concussive", "0", "0", "1", "393472", "0", "0", "0"
0x000FC882, "Ench_LegendaryWeapon_Despondent", "Despondent", "0", "0", "1", "393472", "0", "0", "0"
0x000FC8A3, "Ench_LegendaryWeapon_Frenzy", "Frenzy", "0", "0", "1", "393472", "0", "0", "0"
0x0010052A, "Ench_Neuroamp_Common", "Neuroamp", "0", "0", "0", "393216", "0", "0", "0"
0x001122BE, "Ench_Backpack_EmergencyAid", "Emergency Aid Ench", "0", "0", "0", "393216", "0", "0", "0"
0x00122966, "OLD_Ench_SpawnHazard_Incendiary", "Incendiary Hazard Spawn Enchant", "0", "1", "1", "393472", "0", "0", "0"
0x00122A66, "Ench_LegendaryWeapon_Hitman", "Hitman", "0", "0", "0", "393216", "0", "0", "0"
0x0012D050, "Ench_Weapon_Flechette", "Flechette", "0", "4", "1", "393472", "0", "0", "0"
0x0012D052, "Ench_Weapon_Whitehot", "Whitehot", "0", "4", "1", "393472", "0", "0", "0"
0x001336BB, "Ench_ModLegendaryAddCommonPerk", "", "0", "0", "0", "393216", "0", "0", "0"
0x001336BF, "Ench_Legendary_Armor_Chameleon", "Armor Chameleon", "0", "0", "0", "393216", "0", "0", "0"
0x001336C4, "Ench_Legendary_Armor_InverseHealth_ER", "", "0", "0", "0", "393216", "0", "0", "0"
0x001336C5, "Ench_Legendary_Armor_InverseHealth_DR", "", "0", "0", "0", "393216", "0", "0", "0"
0x0013DDE0, "Ench_Clothing_Common", "Apparel", "0", "0", "0", "393216", "0", "0", "0"
0x001462A2, "Ench_Weapon_StabilizingBarrel", "Stabilizing Barrel Enchantment", "0", "0", "0", "393216", "0", "0", "0"
0x0015DD1A, "ench_LegendaryWeapon_Exterminator", "Exterminator", "0", "0", "0", "393216", "0", "0", "0"
0x001625EA, "Ench_LegendaryWeapon_Disassembler", "Disassembler", "0", "0", "0", "393216", "0", "0", "0"
0x00179643, "Ench_LegendaryWeapon_Incendiary_AddPerk", "Incendiary Legendary", "0", "0", "0", "393216", "0", "0", "0"
0x001810C4, "FX_LandingEngine_IncendiaryDamage", "Incendiary", "0", "4", "1", "393472", "0", "0", "0"
0x0018D39D, "Ench_Weapon_ShieldedGrip", "Shielded Grip Ench", "0", "0", "0", "393216", "0", "0", "0"
0x001B4BF5, "OLD_Ench_Weapon_PainBlade", "Pain Blade", "0", "0", "0", "393216", "0", "0", "0"
0x001CB58F, "Ench_Backpack_Medic", "Medic", "0", "0", "0", "393216", "0", "0", "0"
0x001D5D52, "Ench_EMShock_Perk", "EM Shock Perk Ench", "0", "0", "0", "393216", "0", "0", "0"
0x001EF37D, "Ench_LegendaryWeapon_SkipShot", "Skip Shot", "0", "0", "0", "393216", "0", "0", "0"
0x0020DC6B, "OLD_Ench_LegendaryWeapon_Poison_DMG", "Poison DMG", "0", "4", "1", "393472", "0", "0", "0"
0x0020E2D5, "Ench_LegendaryWeapon_Elemental_AddPerk", "Elemental", "0", "0", "0", "393216", "0", "0", "0"
0x0020E2D6, "Ench_LegendaryWeapon_Explosive", "Explosive", "0", "4", "0", "393216", "0", "0", "0"
0x00210BCA, "Ench_CreatureRanged_SonicBlast", "Sonic Blast", "0", "0", "1", "393472", "0", "0", "0"
0x00210BCB, "Ench_CreatureRanged_FreezingBlast", "Freezing Blast", "0", "0", "1", "393472", "0", "0", "0"
0x0021C4F8, "Ench_Weapon_ShrapnelGrenade", "Shrapnel Grenade", "0", "4", "1", "393472", "0", "0", "0"
0x0021C505, "Ench_CryoMine", "Cryo Mine", "0", "4", "1", "393472", "0", "0", "0"
0x0024529C, "Ench_Armor_ExtraCapacity", "Ench_Armor_ExtraCapacity", "0", "0", "0", "393216", "0", "0", "0"
0x002636B5, "NeuralDisruptorEnchantment01", "", "0", "0", "1", "393472", "0", "0", "0"
0x0028A16A, "Ench_CreatureRanged_OxygenAttack", "Oxygen Attack", "0", "4", "1", "393472", "0", "0", "0"
0x0028F894, "Ench_Weapon_Magsniper_Perk", "Magsniper Ammo Perk", "0", "4", "0", "393216", "0", "0", "0"
0x00291191, "Ench_Creature_ArmorPiercing", "Armor Piercing", "0", "0", "0", "393216", "0", "0", "0"
0x00298B25, "Ench_ModLegendaryAddMirroredPerk", "", "0", "0", "0", "393216", "0", "0", "0"
0x002B4B1C, "Ench_WeaponReward_Ember_Backfire", "Backfire", "0", "0", "0", "393216", "0", "0", "0"
0x002C2385, "Ench_Legendary_Helmet_CombatSensor", "Combat Sensor Perk", "0", "4", "0", "393216", "0", "0", "0"
0x002C2D19, "Ench_Legendary_Helmet_Hackers", "Hacker's Perk", "0", "4", "0", "393216", "0", "0", "0"
0x002C34DA, "Ench_Legendary_Helmet_Headhunter", "Headhunter Perk", "0", "4", "0", "393216", "0", "0", "0"
0x002CC1F3, "_RENAME_TestGrenade_GravWave", "", "11", "0", "2817", "393728", "-218103808", "11457", "0"
0x002D01A1, "Ench_Legendary_Armor_PeaceReward", "Ench_Legendary_Armor_PeaceReward", "0", "0", "0", "393216", "0", "0", "0"
0x002EDE54, "Ench_Legendary_Pack_CarryWeight", "Ench_Legendary_Pack_CarryWeight", "0", "0", "0", "393216", "0", "0", "0"
0x002EDE55, "Ench_Legendary_Pack_AssistedCarry", "Ench_Legendary_Pack_AssistedCarry", "0", "0", "0", "393216", "0", "0", "0"
0x002EDE5A, "Ench_Legendary_Pack_ArmorPlated", "Ench_Legendary_Pack_ArmorPlated", "0", "0", "0", "393216", "0", "0", "0"
0x00317797, "Ench_LegendaryWeapon_AntiPersonnel", "Anti-Personnel", "0", "0", "0", "393216", "0", "0", "0"
0x003178F3, "Ench_LegendaryWeapon_Berserker", "Berserker", "0", "0", "0", "393216", "0", "0", "0"
0x00319AED, "Ench_LegendaryWeapon_Poison_AddPerk", "Ench_LegendaryWeapon_Poison_AddPerk", "0", "0", "0", "393216", "0", "0", "0"
0x00374065, "Ench_Weapon_StabilizingGrip", "Stabilizing Grip Enchantment", "0", "0", "0", "393216", "0", "0", "0"
0x00374068, "Ench_Weapon_StabilizingStock", "Stabilizing Stock Enchantment", "0", "0", "0", "393216", "0", "0", "0"
0x0037D0AF, "Ench_LegendaryWeapon_Radioactive_AddPerk", "Ench_LegendaryWeapon_Radioactive_AddPerk", "0", "0", "0", "393216", "0", "0", "0"
0x00390005, "Ench_ToxicGasMine", "Toxic Gas", "0", "4", "1", "393472", "0", "0", "0"
0x003997AF, "Ench_Weapon_IgnitionBeams", "Ignition Beams", "0", "4", "1", "393472", "0", "0", "0"
0x003B8827, "Ench_IncendiaryGrenade", "Incendiary Grenade", "0", "4", "1", "393472", "0", "0", "0"
0x003B882D, "Ench_LegendaryWeapon_Tesla", "Tesla", "0", "4", "0", "393216", "0", "0", "0"
0x003CEE46, "BoostpackEnchantment_Skip", "Skip Boostpack", "0", "0", "0", "393216", "0", "0", "0"
0x003E9942, "Ench_SleepGas", "Sleep Gas Enchant", "0", "4", "1", "393472", "0", "0", "0"
