FormID, EditorID, Name, Description
0x0010493D,"Vlad_VendorPerk","Vlad Vendor Perk",""
0x0010AF4A,"Perk_LegendaryWeapon_Poison_TempPerk","Poison Legendary Temp Perk",""
0x0011239D,"ImmuneToFire","",""
0x0011239E,"ImmuneToCryo","",""
0x00113793,"crModIncomingDamage00","",""
0x00116A08,"Perk_LegendaryWeapon_Radioactive_TempPerk","Radioactive Legendary Temp Perk",""
0x00120A40,"LC165_PlayerAndAlliesPerk","LC165_PlayerAndAlliesPerk",""
0x00122969,"Perk_LegendaryWeapon_SkipShot","Skip Shot",""
0x00123512,"LC165_Starborn_Ruins_InnerDemonPerk","LC165_Starborn_Shadow_InnerDemonPerk",""
0x001253D4,"Perk_Chem_IncreaseDamage20","Increased Damage from Chems","Increased Damage from Chems"
0x001283DA,"ENV_AFFL_HitSpell_Perk_Creatures","",""
0x0012A089,"NPC_Starborn_Perk","LC165_StarbornBossPerksAll",""
0x00133AB8,"Perk_LegendaryWeapon_Raging","Raging",""
0x0013DE01,"Perk_Clothing_Common","Perk_Clothing_Common",""
0x0013DFB7,"LC088_Space_ModIncomingDamageFakeCombatEnemyShip","",""
0x0013DFB8,"LC088_Space_ModIncomingDamageFakeCombatAllyShip","",""
0x00143B6B,"Skill_Payloads","Payloads","Any pilot can haul cargo, but it takes special determination and training to maximize cargo space."
0x00146C2C,"Skill_BoostPackTraining","Boost Pack Training","Specialized training and innovations in personal mobility systems have allowed for unfettered exploration on alien worlds."
0x00147DBD,"FactionUnitedColoniesSysDefPerk","UC SysDef",""
0x00147E2C,"ENV_OxygenUseMult","",""
0x00147E38,"Skill_HeavyWeaponCertification","Heavy Weapons Certification","Oversized weapons may prove cumbersome to wield, but their excessive damage output can't be ignored, especially in the hands of a trained combatant."
0x00147E3F,"CF08_ShipLaserDamageReduction","",""
0x001504FC,"crRangedDmgPerk","","Adds the crAttackDamage actor value to the melee damage done by creatures."
0x00152B9F,"FC02_VendorDiscount","Mary Vendor Discount",""
0x00153737,"City_Neon_Chem01_VendorDiscount","Legrange Vendor Discount",""
0x00154490,"ENV_AFFL_Symptom_Nausea_Perk","",""
0x00160D79,"LC165_Starborn_Courtyard_CommandedActorLimitPerk","LC165_Starborn_Bridge_DamageModPerk",""
0x00166DD4,"Env_HideWaterActivation","",""
0x00169201,"CCT_Scan_Attack_Spitter_Base_Perk","CCT_Scan_Attack_Spitter_Base_Perk",""
0x00169204,"CCT_Scan_Attack_Slinger_Base_Perk","CCT_Scan_Attack_Slinger_Base",""
0x00169206,"CCT_Scan_Attack_Fast_Perk","CCT_Scan_Attack_Fast_Perk",""
0x00169216,"CCT_Scan_Attack_AntiArmor_Perk","CCT_Scan_Attack_AntiArmor_Perk",""
0x0016A242,"CF05_ComSpike_Perk","ComSpike","Time to lock onto enemy ships is reduced by 25%, and weapons cost 20% less to use in Targeting Mode."
0x0016AA01,"CF06_ConductionGrid_Perk","Conduction Grid","Reduces EM damage by 50%, and increases shield regeneration by 25%"
0x0016AF68,"Perk_Chem_IncreaseDamage25","Increased Damage from Chems","Increased Damage from Chems"
0x00179645,"Perk_LegendaryWeapon_Incendiary","Incendiary",""
0x0017AAAF,"UCR05_crDamage050","",""
0x0017F477,"UCR01_AcelesTeam_ReduceTerrormorphDamage","",""
0x00184968,"Skill_Manipulation_InternalNeuroampBonus","Manipulation_InternalNeuroampBonus",""
0x00187117,"LDCreatureDamageMod_Player","",""
0x00187131,"LDCreatureDamageMod_XHard","",""
0x00187132,"LDCreatureDamageMod_XEasy","",""
0x00187133,"LDCreatureDamageMod_VHard","",""
0x00187134,"LDCreatureDamageMod_Medium","",""
0x00187135,"LDCreatureDamageMod_Hard","",""
0x0018713C,"LDCreatureDamageMod_Easy","",""
0x0018D3A1,"Mod_Weapon_ShieldedGrip","Shielded Grip",""
0x0018E45B,"CCT_DecreaseDamageFromPreyForPredators","",""
0x0019651A,"FactionUnitedColoniesVanguardPerk","United Colonies Vanguard Captain",""
0x001A7F8A,"CCT_Scan_BlastResistant_Perk","CCT_Scan_BlastResistant",""
0x001A7F8D,"CCT_Scan_KineticVulnerable","CCT_Scan_KineticVulnerable",""
0x001A7F8E,"CCT_Scan_KineticResistant","CCT_Scan_KineticResistant",""
0x001A7F8F,"CCT_Scan_EnergyVulnerable","CCT_Scan_EnergyVulnerable",""
0x001A7F90,"CCT_Scan_EnergyResistant","CCT_Scan_EnergyResistant",""
0x001A7F91,"CCT_Scan_EMVulnerable","CCT_Scan_EMVulnerable",""
0x001A7F92,"CCT_Scan_EMResistant","CCT_Scan_EMResistant",""
0x001B40C1,"crDamage075","",""
0x001B4BEF,"OLD_Mod_Weapon_PainBlade","",""
0x001BDC4B,"Perk_Explosives_Quality_DMG","Explosive Weapon Quality Level Damage",""
0x001BF218,"CrTerrormorphMindControlNPCFortifyHealth","CrTerrormorphMindControlNPCFortifyHealth",""
0x001BF531,"TradeShips_VendorDiscount","Civilian Ships Vendor Discount",""
0x001BF5AE,"Perk_Alc_ImprovedSpeechChallengeSuccess_01_Low","Increased Speech Challenge Success Chance from Alcohol","Increased Speech Challenge Success Chance from Alcohol"
0x001C48DC,"LC088_Space_VigilanceDamageImmunityPerk","",""
0x001C514C,"CompanionCheckSarahMorganPerk","Sarah Morgan",""
0x001C514D,"CompanionCheckSamCoePerk","Sam Coe",""
0x001C514E,"CompanionCheckBarrettPerk","Barrett",""
0x001C5150,"CompanionCheckAndrejaPerk","Andreja",""
0x001C5151,"FactionCrimsonFleetPerk","Crimson Fleet",""
0x001C5152,"FactionRyujinIndustriesPerk","Ryujin Industries",""
0x001C5153,"FactionFreestarCollectivePerk","Freestar Ranger",""
0x001C5154,"FactionUnitedColoniesPerk","United Colonies",""
0x001C8770,"City_CY_Startup01_VendorDiscount","Janes Vendor Discount",""
0x001C93E3,"CCT_Scan_Healthy","CCT_Scan_Healthy",""
0x001CB590,"Backpack_Medic","Medic",""
0x001CBA53,"UCR04_Critters_ReduceIncomingDamage_c75","",""
0x001D3034,"SQ_Captive_PlayerRescueChoices","",""
0x001D5D53,"Mod_Weapon_EMShock","",""
0x001D7053,"FactionStarbornPerk","Starborn",""
0x001DC477,"CCT_HitSpell_Glue_Perk","CCT_HitSpell_Glue_Perk",""
0x001E6849,"ModLegendaryCommonPerk","",""
0x001F0C3D,"MagPerk_ExperimentalStarshipSchematic10","Experimental Starship Schematic 10",""
0x001F0C3E,"MagPerk_ExperimentalStarshipSchematic09","Experimental Starship Schematic 9",""
0x001F0C3F,"MagPerk_ExperimentalStarshipSchematic08","Experimental Starship Schematic 8",""
0x001F0C40,"MagPerk_ExperimentalStarshipSchematic07","Experimental Starship Schematic 7",""
0x001F0C41,"MagPerk_ExperimentalStarshipSchematic06","Experimental Starship Schematic 6",""
0x001F0C42,"MagPerk_ExperimentalStarshipSchematic05","Experimental Starship Schematic 5",""
0x001F0C43,"MagPerk_ExperimentalStarshipSchematic04","Experimental Starship Schematic 4",""
0x001F0C44,"MagPerk_ExperimentalStarshipSchematic03","Experimental Starship Schematic 3",""
0x001F0C45,"MagPerk_ExperimentalStarshipSchematic02","Experimental Starship Schematic 2",""
0x001F0C46,"MagPerk_TheNewAtlantian5","The New Atlantian 5: Shepherd's Pie",""
0x001F0C47,"MagPerk_TheNewAtlantian4","The New Atlantian 4: Beer Brat Platter",""
0x001F0C48,"MagPerk_TheNewAtlantian3","The New Atlantian 3: Astral Sliders",""
0x001F0C49,"MagPerk_TheNewAtlantian2","The New Atlantian2: Panache",""
0x001F254E,"MagPerk_NASAColonizationGuide10","NASA Colonization Guide Issue 10",""
0x001F26A0,"MagPerk_EnhanceYourLife5","Skill Magazine: Enhance! Your Life! Issue 5",""
0x001F26A1,"MagPerk_EnhanceYourLife4","Skill Magazine: Enhance! Your Life! Issue 4",""
0x001F26A2,"MagPerk_EnhanceYourLife3","Skill Magazine: Enhance! Your Life! Issue 3",""
0x001F26A3,"MagPerk_EnhanceYourLife2","Skill Magazine: Enhance! Your Life! Issue 2",""
0x001F26A4,"MagPerk_NASAColonizationGuide09","NASA Colonization Guide Issue 9",""
0x001F26A5,"MagPerk_NASAColonizationGuide08","NASA Colonization Guide Issue 8",""
0x001F26A6,"MagPerk_NASAColonizationGuide07","NASA Colonization Guide Issue 7",""
0x001F26A7,"MagPerk_NASAColonizationGuide06","NASA Colonization Guide Issue 6",""
0x001F26A8,"MagPerk_NASAColonizationGuide05","NASA Colonization Guide Issue 5",""
0x001F26A9,"MagPerk_NASAColonizationGuide04","NASA Colonization Guide Issue 4",""
0x001F26AA,"MagPerk_NASAColonizationGuide03","NASA Colonization Guide Issue 3",""
0x001F26AB,"MagPerk_NASAColonizationGuide02","NASA Colonization Guide Issue 2",""
0x001F26AC,"MagPerk_NeonNights5","Skill Magazine: Neon Nights 5",""
0x001F26AD,"MagPerk_NeonNights4","Skill Magazine: Neon Nights 4",""
0x001F26AE,"MagPerk_NeonNights3","Skill Magazine: Neon Nights 3",""
0x001F26AF,"MagPerk_NeonNights2","Skill Magazine: Neon Nights 2",""
0x001FE55B,"Perk_LegendaryWeapon_Poison","Poison",""
0x001FF721,"MagPerk_UCNavigatorCorpStarChart","",""
0x001FF727,"MagPerk_TheNewAtlantian1","The New Atlantian 1: The Strip",""
0x001FF72D,"MagPerk_EnhanceYourLife1","Skill Magazine: Enhance! Your Life! Issue 1",""
0x002009B7,"MagPerk_NovaGalacticFlightManual","",""
0x002009C2,"MagPerk_ExperimentalStarshipSchematic01","Experimental Starship Schematic 1",""
0x002009D9,"MagPerk_UCVanguardSpaceCombatTactics","",""
0x002009E4,"MagPerk_NASAColonizationGuide01","NASA Colonization Guide Issue 1",""
0x00200A89,"MagPerk_NeonNights1","Skill Magazine: Neon Nights 1",""
0x00200B0E,"CCT_Creature_ExplosiveShielding","CCT_Creature_ExplosiveShielding",""
0x00200B1D,"CCT_HitSpell_Burn_Perk","CCT_HitSpell_Burn_Perk",""
0x00200B20,"CCT_HitSpell_Freeze_Perk","CCT_HitSpell_Freeze_Perk",""
0x00201BD8,"MagPerk_FreestarCollectiveCaptainsLog","",""
0x00202D9F,"MagPerk_PeakPerformance","",""
0x002080FF,"Skill_PistolCertification","Pistol Certification","Considering the popularity of the personal sidearm in the Settled Systems, familiarity with such weapons is often considered essential."
0x00208D8F,"MagPerk_CyberRunnersHandbook","Skill Magazine: The Cyber Runner's Cypher",""
0x00208D90,"MagPerk_SolomonCoesAkilaAdventures","Magazine Skill: Solomon Coe's Akila Adventures",""
0x00208E92,"MagPerk_ConstellationSpacefarersGuide","Skill Magazine: The Constellation Spacefarer's Guide",""
0x00209094,"MagPerk_KryxsJournal","Skill Magazine: Kryx's Journal",""
0x0020909C,"MagPerk_TrackersAlliancePreparednessPrimer","Magazine Perk: Tracker's Alliance Preparedness Primer",""
0x00209FBB,"MagPerk_UCDefenseManual","Skill Magazine: United Colonies Defense Manual",""
0x0020A925,"MagPerk_ScriptureoftheGreatSerpent","Magazine Perk: Scripture of the Great Serpent",""
0x0020B4B6,"MagPerk_MiningMonthly","Magazine Perk Mining Monthly",""
0x0020BB31,"MagPerk_FreestarRangerGunslingersGuide","Magazine Skill: Freestar Ranger Gunslinger's Guide",""
0x0020E2DB,"Perk_LegendaryWeapon_Elemental","Elemental",""
0x0020E2DC,"Perk_LegendaryWeapon_Explosive","Explosive",""
0x0020E35B,"Crew_Leadership","Leadership","NOTE: this perk has no functionality, it is just for the UI. Make sure to add the Crew_LeadershipScript to any actor with this perk"
0x0020FE49,"VendorModsNewAtlantis","New Atlantis vendor mods",""
0x002102C2,"CCT_DamageMod_Perk","",""
0x00210B92,"UC02_Terrormorph_ReduceTurretDamage","",""
0x00210E0A,"MQ105_CompanionStealth","",""
0x002117CB,"VendorModsNeon","Neon vendor mods",""
0x002117E4,"VendorModsCydonia","Cydonia vendor mods",""
0x002117F1,"VendorModsAkila","Akila vendor mods",""
0x002119C1,"UC_CitizenVendorDiscount_Rank02","United Colonies Citizen Discount - Tier 02",""
0x0021293F,"MagPerk_CombaTech","CombaTech Magazine Perk",""
0x0021303E,"CCT_DamageMod_Perk_Terrormorph","",""
0x00219A56,"UC_CitizenVendorDiscount_Rank01","United Colonies Citizen Discount - Tier 01",""
0x0021B8C2,"DUPESKILL_Crew_Starship_Engineering","Starship Engineering",""
0x0021B8C3,"Crew_Outpost_Management","Outpost Management",""
0x0021B8C4,"Crew_Xenosociology","Xenosociology",""
0x0021B8C5,"Crew_Gastronomy","Gastronomy",""
0x0021B8C6,"Crew_Theft","Theft",""
0x0021B8C7,"Crew_Scavenging","Scavenging",""
0x0021B8C8,"Crew_Outpost_Engineering","Outpost Engineering",""
0x0021B8C9,"Crew_Chemistry","Chemistry",""
0x0021B8CA,"Crew_Botany","Botany",""
0x0021B8CB,"Crew_Medicine","Medicine",""
0x0021B8CC,"Crew_Geology","Geology",""
0x0021B8CD,"Crew_Robotics","Robotics",""
0x0021B8D2,"Crew_PainTolerance","Pain Tolerance",""
0x0021B8D3,"Crew_EnergyWeaponDissipation","Energy Weapon Dissipation",""
0x0021B8D4,"Crew_Concealment","Concealment",""
0x0021B8D5,"Crew_Wellness","Wellness",""
0x0021B8D9,"Crew_WeightLifting","Weight Lifting",""
0x0021B8DA,"Crew_Stealth","Stealth",""
0x0021B8DC,"Crew_Sharpshooting","Sharpshooting",""
0x0021B8DD,"Crew_Marksmanship","Marksmanship",""
0x0021B8DE,"Crew_SniperCertification","Sniper Certification",""
0x0021B8DF,"Crew_ShotgunCertification","Shotgun Certification",""
0x0021B8E0,"Crew_ParticleBeams","Particle Beams",""
0x0021B8E1,"Crew_RifleCertification","Rifle Certification",""
0x0021B8E2,"Crew_Incapacitation","Incapacitation",""
0x0021B8E3,"Crew_Demolitions","Demolitions",""
0x0021B8E4,"Crew_Lasers","Lasers",""
0x0021B8E6,"Crew_Ballistics","Ballistics",""
0x0021D059,"MagPerk_GRUNT","GRUNT Magazine Perk",""
0x002209E7,"Perk_LegendaryWeapon_Oxygenated","Oxygenated",""
0x00220BB6,"Crew_Ship_Weapons_Ballistic","Ballistic Weapon Systems",""
0x00222F83,"Crew_AneutronicFusion","Aneutronic Fusion",""
0x00222F84,"CREW_Ship_Payloads","Payloads",""
0x00222F85,"Crew_Ship_Weapons_ParticleBeam","Particle Beam Weapon Systems",""
0x00222F86,"CREW_Ship_Weapons_Missile","Missile Weapon Systems",""
0x00222F87,"Crew_Ship_Weapons_Energy","Energy Weapon Systems",""
0x00222F88,"CREW_Ship_StarshipEngineering","Starship Engineering",""
0x00226A1A,"VascoShutDownZeroGPlayerPerk","",""
0x00227FD0,"TRAIT_SerpentsEmbrace","Serpent's Embrace","You grew up worshiping the Great Serpent. Grav jumping provides a temporary boost to health and oxygen, but health and oxygen are lowered if you don't continue jumping regularly - like an addiction. (Can't be combined with any other religion trait.)"
0x00227FD1,"TRAIT_RaisedUniversal","Raised Universal","You grew up as a member of the Sanctum Universum. You gain access to a special chest full of items in the Sanctum Universum in New Atlantis, but lose access to the House of the Enlightened chest. (Can't be combined with any other religion trait.)"
0x00227FD2,"TRAIT_RaisedEnlightened","Raised Enlightened","You grew up as a member of the Enlightened. You gain access to a special chest full of items in the House of the Enlightened in New Atlantis, but lose access to the Sanctum Universum chest. (Can't be combined with any other religion trait.)"
0x00227FD3,"TRAIT_NeonStreetRat","Neon Street Rat","You grew up on the mean streets of Neon. You gain access to special dialogue options, and better rewards from some missions on Neon. Crime bounty by other factions is greatly increased. (Can't be combined with any other faction allegiance trait.)"
0x00227FD4,"TRAIT_UnitedColoniesNative","United Colonies Native","You gain access to special United Colonies dialogue options, and better rewards from some missions given by the faction. However, crime bounty by other factions is greatly increased. (Can't be combined with any other faction allegiance trait.)"
0x00227FD5,"TRAIT_FreestarCollectiveSettler","Freestar Collective Settler","You gain access to special Freestar Collective dialogue options, and better rewards from some missions given by the faction. But, crime bounty towards other factions is greatly increased. (Can't be combined with any other faction allegiance trait.)"
0x00227FD6,"TRAIT_Empath","Empath","You are deeply connected to the feelings of others. Performing actions your companion likes will result in a temporary increase in combat effectiveness. But, performing actions they don't like will have the precise opposite effect."
0x00227FD7,"TRAIT_Extrovert","Extrovert","You're a people person. Exerting yourself uses less oxygen when adventuring with human companions, but more when adventuring alone. (Can't be combined with Introvert.)"
0x00227FD8,"TRAIT_Introvert","Introvert","You really need your alone time. Exerting yourself uses less oxygen when adventuring alone, but more when adventuring with other human companions. (Can't be combined with Extrovert.)"
0x00227FD9,"TRAIT_UnwantedHero","Hero Worshipped","You've earned the attention of an annoying ""Adoring Fan"" who will show up randomly and jabber at you incessantly. On the plus side, he'll join your ship's crew and give you gifts..."
0x00227FDA,"TRAIT_AlienDNA","Alien DNA","You volunteered for a controversial experiment that combines alien and human DNA. As a result, you start with increased health and oxygen, but healing and food items aren't as effective."
0x00227FDD,"TRAIT_Wanted","Wanted","Someone put a price on your head, and word has spread. Occasionally, armed mercenaries will show up and try to kill you, but being cornered gives you an edge - when your health is low, you do extra damage."
0x00227FDE,"Trait_KidStuff","Kid Stuff","Your parents are alive and well, and you can visit them at their home. But you will automatically send 2% of your credits home to them every week."
0x00227FDF,"TRAIT_StarterHome","Dream Home","You own a luxurious, customizable house on a peaceful planet! Unfortunately it comes with a 125,000 credit mortgage with GalBank that has to be paid weekly."
0x00227FE0,"TRAIT_Taskmaster","Taskmaster","Occasionally, if you have crew trained in a certain ship system, that system will automatically repair itself to full health whenever it is damaged below 50%. However, all crew cost twice as much to hire."
0x00227FE1,"TRAIT_TerraFirma","Terra Firma","You've never acclimated to space. Health and oxygen are increased when on the surface, but decreased when you're in space. (Can't be combined with Spaced.)"
0x00227FE2,"TRAIT_Spaced","Spaced","Your body has become acclimated to space. Health and oxygen are increased when in space, but decreased when on the surface. (Can't be combined with Terra Firma.)"
0x0022B2DD,"ArtifactPower_MoonForm_StaggerResist","Moon Form Stagger Resistance",""
0x0022EC6E,"BackgroundXenobiologist","Xenobiologist","The Settled Systems is home to untold alien species. And while none of them have yet proven sentient, that never deterred you. So you sought out and studied them for whatever gifts they offered."
0x0022EC6F,"BackgroundSpaceScoundrel","Space Scoundrel","Good? Bad? Whose right is it to say? If there's anything you've learned while traipsing through the galaxy, it's this: space may look black, but it's really one big shade of grey."
0x0022EC70,"BackgroundSoldier","Soldier","The Settled Systems is no stranger to warfare, and if there's one thing armed conflict relies on it's trained warriors with guns and guts. You had both. Simple, bloody work... and you were great at it."
0x0022EC71,"BackgroundSculptor","Sculptor","With your knowledge of anatomy and skilled, steady hands, you could have had a lucrative career as a surgeon. Instead, you followed your heart, and created works of art to amaze and inspire."
0x0022EC72,"BackgroundProfessor","Professor","You always enjoyed learning, but nothing could compare to the joy of teaching others. As humankind spread throughout the stars, there was never a lack of knowledge to obtain, and you gladly assisted."
0x0022EC73,"BackgroundPilgrim","Pilgrim","Wayfarer, wanderer, seeker... transient. You've been called many things during your travels, and learned something those others could never understand - the journey IS the destination."
0x0022EC74,"BackgroundRonin","Ronin","Masterless and unbound, you wandered the Settled Systems as a blade for hire. To some, you were a simple mercenary. To others, a hero. And to a select few... a nightmare they could never wake from."
0x0022EC75,"BackgroundLongHauler","Long Hauler","Let those other hotheaded pilots obsess over laser weapons and maneuverability. You're a space trucker, pure and simple. Pack the cargo, get it there fast, get paid, repeat. Life is simple and good."
0x0022EC76,"BackgroundBigGameHunter","Beast Hunter","From the Ashta of Akila to the Terrormorphs that plague the whole of the Settled Systems, hostile alien life abounds. You've learned the skills to track them, find them, and take them down."
0x0022EC77,"BackgroundHomesteader","Homesteader","The discovery of the Settled Systems' many oxygen-rich planets and moons meant humans could live just about anywhere... if they had the know how. You did, and utilized it to great effect."
0x0022EC78,"BackgroundGangster","Gangster","You were always disgusted by suckers killing themselves to make an ""honest wage."" As soon as you were old enough to hold a weapon, you took what you wanted from anyone unlucky enough to have it."
0x0022EC79,"BackgroundExplorer","Explorer","They said exploration is a lost art. You didn't listen. As the major factions argued over the space they desperately tried to control, you were busy uncovering the wonders of the Settled Systems."
0x0022EC7A,"BackgroundIndustrialist","Industrialist","There was a time when all you wanted to be was a titan of industry, maybe a ship designer, or megacorp exec. Thankfully, that skillset never goes out of style in the Settled Systems."
