FormID, EditorID, Full, Summary
0x0000D725,"DialogueCFTheKey_RandomIdles_LastNova04","",""
0x0000D773,"SQ_Followers","Handles various systems for Followers",""
0x0000DB20,"SE_SD08","Derelict Ship Template",""
0x0000DBE9,"City_AkilaLife07","Solomon's Trove",""
0x0000DC17,"Landmark_Shanghai","Shanghai Landmark Quest",""
0x0000DC18,"Landmark_StLouis","St. Louis Landmark Quest",""
0x0000E415,"MQ204_NA_StateChangeHandler","",""
0x0000E6B8,"DialogueConstellation","",""
0x0000FBDC,"DialogueCFTheKey_RandomIdles_LastNova03","",""
0x00010A7B,"COM_System_PlayerSharedLines","",""
0x00010B4B,"DialogueGeneric","Shared Lines across Generic Voicetypes",""
0x000114C9,"MQ103","The Empty Nest","The player meets SAM COE and his daughter CORA COE. The three of them travel to Akila City, the capital of the Freestar Collective. Sam tries to retrieve maps left behind by his legendary ancestor, Solomon. But Sam's father, JACOB COE, has gotten to the maps first and demands to talk face to face. After arguing with his dad, Sam and the player find a way to retrieve the maps from Jacob. They then travel to Akila's dangerous frontier, and have to get past the LOCKE gang, an outlaw group, before finally finding the Artifact."
0x000114CD,"MQ102","The Old Neighborhood","Sarah Morgan takes the player with her as she investigates a lead on an Artifact. The player meets John Savea, the UC Vanguard recruiting officer, who points you and Sarah to a Vanguard volunteer on Cydonia, Mars. You investigate, and find that the Vanguard went missing patrolling ""the Old Neighborhood"" - the Sol System. Patrol the planets of Venus, Jupiter, and Saturn with Sarah. Find the missing Vanguard and rescue them."
0x000128D0,"SpeechChallenge","All Basic and Default Options",""
0x00012996,"AudioLogsQuest","",""
0x00012F85,"DialogueCrimsonFleet","",""
0x00013497,"DialogueUCNewAtlantis","New Atlantis Main Dialogue","Base settlement dialogue for New Atlantis"
0x0001437F,"CREW_OBSOLETE","Crew Master Quest",""
0x000143B4,"MQ101SpaceEncounter01","",""
0x0001483F,"DialogueSeokguhConvo05","",""
0x00014840,"DialogueSeokguhConvo01","",""
0x00014841,"DialogueSeokguhConvo02","",""
0x00014842,"DialogueSeokguhConvo03","",""
0x00014843,"DialogueSeokguhConvo04","",""
0x00014BDE,"TemplateRandomConvQuest","",""
0x00014C83,"UC_NA_CL_ReadingScene","",""
0x00014E55,"CREW_EliteCrew_GideonAker","Gideon Aker",""
0x00015300,"MB_Parent","",""
0x00015358,"DialogueCFTheKey","[The Key Dialogue]","This is the base dialogue quest for the Crimson Fleet. "
0x0001575A,"OE_AustinF_FuelAssault","Scarce Supplies",""
0x0001575B,"OE_AustinF_GuardingFuel","Guarding Fuel","!!----------------PLEASE WAIT TO DUPLICATE OR MODIFY-----------------!!"
0x0001575C,"OE_AustinF_DeployMicrobe","",""
0x0001575D,"OE_AustinF_DeployMicrobe_Group","",""
0x000157E3,"SE_Player_KMK02","Crimson Fleet attack",""
0x000158E0,"City_NewAtlantis_Z_AShipmentForSalinas","A Shipment for Salinas",""
0x000160A9,"MQ104A","Into the Unknown","The player meets VLADIMIR SALL, a Constellation member who lives onboard the Eye, a starstation. Vladimir explains how Constellation tracks down the Artifacts and sends the player out to find more of them in the fringes of space. On returning, the player talks to MATTEO and NOEL about the Artifact hunts before being summoned back to the Eye to look at some larger space anomalies with Vladimir. The player investigates an anomaly only to discover a large, alien temple with an elaborate puzzle sequence. A light engulfs the player in the center of the temple and they gain powers, which they demonstrate to Constellation on their return."
0x0001638D,"MQ104B","Back to Vectera","The player returns to Vectera, looking for BARRETT, but ends up finding LIN alone at the mining colony. Pirates came back to the colony and Barrett and HELLER were taken captive. The player tracks their ship down, only to find it crash landed, with Heller alone and injured. He explains that he and Barrett managed to get away from the pirates but ended up crashing the ship. He then points you to the pirate's base, where Barrett is being held by the pirate captain MATSURA."
0x0001655E,"PersonalAtmosphereFXQuest","",""
0x000174A2,"SQ_PlayerShip","Aliases for the Player's Current Ship",""
0x000179C1,"BE_KT05","[BE - Survey Says]",""
0x000179C2,"SE_KT05","Survey Says",""
0x00017CE7,"MQ202","No Sudden Moves","VLADIMIR SALL tells the PLAYER about CAPTAIN PETROV, an eccentric collector who runs a salvage ship called The Scow. Petrov has recently acquired an Artifact and refuses to part with it. Vladimir tells the player he will have to steal the Artifact from the Scow's treasure vaults."
0x00017CE8,"MQ201","Further Into the Unknown","VLADIMIR SALL gives the PLAYER more leads on where to find Artifacts in the far fringes of space."
0x00019089,"DebugMQ101HelperQuest","",""
0x000192D2,"CF02","Rook Meets King",""
0x00019328,"MB_Cargo02Local00","Deliver <Alias=PrimaryRef> to <Alias=TargetPlanetLocation>",""
0x0001AE53,"SE_Player_ZW13","Malai Liskova attack",""
0x0001BD20,"CF06","Absolute Power",""
0x0001C02A,"SE_DerelictShip_Generic","Derelict Ship Template",""
0x0001C075,"MQ_TempleQuest_Freeform03","Power from Beyond (<Alias=PlanetWithTrait>)",""
0x0001C076,"MQ_TempleQuest_Freeform02","Power from Beyond (<Alias=PlanetWithTrait>)",""
0x0001C077,"MQ_TempleQuest_Freeform01","Power from Beyond (<Alias=PlanetWithTrait>)",""
0x0001C078,"MQ_TempleQuest_Freeform00","Power from Beyond (<Alias=PlanetWithTrait>)",""
0x0001C179,"MQ_TempleQuest_Freeform","Power from Beyond (<Alias=PlanetWithTrait>)",""
0x0001E3F9,"DialogueCrowds","Crowd Dialogue",""
0x0001EAE4,"BE_DerelictShip_Generic","[BE -Generic Derelic]",""
0x00021353,"MQ_TutorialQuest_Misc04","Misc Pointer to Cargo",""
0x00021355,"MQ_TutorialQuest_Misc02","Misc Pointer to Outpost",""
0x00021356,"MQ_TutorialQuest_Misc01","Misc Pointer to Ship Services",""
0x00021BEF,"MQ106","Starborn","The Player is leaving Neon with WALTER STROUD when their ship is ambushed by the EMISSARY. They identify themselves as the Starborn, and demand the player hand over the Artifact they just acquired on Neon. After evading the Starborn, the player returns to the Lodge, where they hold a meeting to discuss what just happened an theorize who the Starborn could be."
0x00023187,"MQ101SpaceEncounter02","",""
0x00023302,"DialogueCFTheKey_RandomConvo01","",""
0x000235F7,"DialogueCFTheKey_RandomConvo02","",""
0x00023BC0,"FC_Neon_ALN_CitytLife_Encounter03","Neon CityLife: Euphorika",""
0x00023BD2,"FC_Neon_ALN_CitytLife_Encounter02","Neon CityLife: Madame Sauvage",""
0x0002465E,"DNMQ101","","Called from MQ101"
0x000246D2,"Neon_EvictedSleepcrate_MinigameHandler","Neon Evicted Sleepcrate Minigame Handler",""
0x00024C87,"Landmark_HongKong","Hong Kong Landmark Quest",""
0x00024EA9,"DialogueFCNeonConvo_LendelJoseph01","",""
0x00024EAA,"DialogueFCNeonConvo_LendelRenick01","",""
0x00024EAB,"RyujinTower_RC_Floor3_RobertandLendel","",""
0x000251D0,"BE_KT04","[BE - The Pale Lady]",""
0x000251D1,"SE_KT04","The Pale Lady",""
0x000251D2,"AudioLogsQuest_KT","",""
0x00025233,"MQ401j","One Small Step","In an alternate universe, several versions of the player have made home in the Lodge."
0x00026E9B,"MB_SmuggleDestinationFinder_CFR0200","",""
0x00026E9C,"MB_SmuggleDestinationFinder_CFR0201","",""
0x00026EAC,"Landmark_Osaka","Osaka Landmark Quest",""
0x00026EB0,"Landmark_Apollo","Apollo Landmark Quest",""
0x000271D8,"DialogueHopetown_Shared","",""
0x00027698,"SE_SD07","Derelict Ship Template",""
0x000277A3,"BE_KT03","[BE - Robot Survey Team]",""
0x000277A4,"SE_KT03","Robot Survey Team",""
0x00028354,"OE_MP_Creatures02","",""
0x00028FBD,"SQ_PlayerIncreaseLevel","",""
0x0002927E,"BE_KT02","[BE - Party Cruise]",""
0x00029289,"SE_KT02","Party Cruise",""
0x00029CC8,"SE_FAB25","Lemonade Stand",""
0x00029DA1,"MQ401i","One Small Step","In an alternate universe, several versions of the player have made home in the Lodge."
0x0002A6F7,"SQ_PlayerClearLocation","",""
0x0002B8D6,"SE_ZW14_SpaceCell","",""
0x0002B8DF,"SE_ZW08_SpaceCell","",""
0x0002B8E2,"SE_ZW15_SpaceCell","",""
0x0002DD1D,"DialogueCydoniaConvo_WaylonParker","","One Marine to Chris Cullen. The marine wonders how Chris can remain so positive despite being stationed on Cydonia."
0x0002E9F0,"RQ_OE_TransportPerson_01","Equipment Malfunction",""
0x0002E9F1,"RQ_Settlement_KillCreature_01","Alien Extermination",""
0x0002F844,"SE_KT06","Married Couple",""
0x0002F845,"BE_KT06","[BE - Married Couple]",""
0x0002F8FF,"SQ_OutpostCreateStarstation","",""
0x00030102,"SE_SD06","Derelict Ship Template",""
0x000308F5,"LegendaryAliasQuest","",""
0x00031608,"UC_NA_RandomConvLoganCullen","",""
0x00031AAB,"DialogueCydoniaConvo_ChrisCullen01","","One Marine to Chris Cullen. The marine wonders how Chris can remain so positive despite being stationed on Cydonia."
0x00032898,"MQ_TempleQuest_SpawnTemple","",""
0x0003517B,"UCR04_Dupe00","Apex Predator","The player has received a mission from Percival Walker - one of the co-heads of the Terrormorph Management Division of the UC - to track down a deadly alien predator on a distant world, kill it, and harvest a cell sample from it for the UC's research."
0x000360DC,"RM_RandomConv_Patrons03","",""
0x000360DD,"RM_RandomConv_Patrons01","",""
0x000360DE,"RM_RandomConv_Donovan04","",""
0x000360DF,"RM_RandomConv_Donovan03","",""
0x000369AA,"COM_Quest_Barrett_Q01_SpeechChallenge","","Holds quest dialogue for support characters in Gagarin that would exist before and after the Barrett personal quest. For example, in case the player takes Barrett to Gagarin prior to the quest or after the quest."
0x000369AB,"COM_Quest_Barrett_Q01","Breach of Contract",""
0x00036BFA,"RM_RandomConv_Donovan02","",""
0x00036C06,"RM_RandomConv_Staff01","",""
0x00036C07,"RM_RandomConv_Patrons02","",""
0x00036E11,"RQ_Dialogue_CUT","",""
0x00036E4E,"DialogueUCTheLodge_Convo20_AndrejaSarah","",""
0x00037348,"City_NA_FAB_Quest03","Residential: Athena Date Night",""
0x00037526,"FC_Neon_CT_CityLife_Encounter01","Neon CityLife: Enhance",""
0x00037E62,"FFCydoniaZ06","Special Delivery",""
0x000392DA,"CF05_Alarm","",""
0x000394C5,"SQ_PlayerClearedReward","Reward for Clearing Dungeons from Guards",""
0x0003B7C0,"City_Neon_Chem03Misc","",""
0x0003BC4F,"BE_KT01","[BE - Mayday]",""
0x0003BC50,"SE_KT01","Mayday",""
0x0003BD73,"SE_Player_FAB24","Universal Pilgrims",""
0x0003BF49,"SQ_TreasureMap_Space_DifferentSystem01","",""
0x0003BF4A,"SQ_TreasureMap_Space_DifferentSystem00","",""
0x0003BF4E,"SQ_TreasureMap_Surface_DifferentSystem01","",""
0x0003BF4F,"SQ_TreasureMap_Surface_DifferentSystem00","",""
0x0003DBA8,"MQ207C_Support_Fix01","",""
0x0003DC10,"City_AkilaLife05","Blast Zone",""
0x0003E2A1,"DialogueFCAkilaCity_LangstonScene","",""
0x0003E832,"UC08_AB_AnomalyBattle","",""
0x0003FE68,"SQ_RemoveItem01","Sanitation Bot picks up trash",""
0x000414C6,"SE_SD05","Derelict Ship Template",""
0x000418B8,"SQ_OutpostAttack01Humans00","Outpost attack",""
0x00042C53,"SE_Player_FAB18c","Genghis Appears (MS02)",""
0x00042C70,"FFNewAtlantis02Misc","Misc Pointer",""
0x00042DD2,"SQ_TreasureMap_Resource_DifferentSystem01","",""
0x00042DD3,"SQ_TreasureMap_Resource_DifferentSystem00","",""
0x00042E2B,"SE_SD04","Derelict Ship Template",""
0x00043278,"RQ_OE_Deliver_01","Final Thoughts",""
0x00043279,"AudioLogsQuest_RQ","Radiant Quest Audio Log Scenes",""
0x000447B2,"SE_FAB23","Hope-less Ranger (FC09)",""
0x000447B4,"SE_Player_FAB18b","Genghis 2nd (MS02)",""
0x000448C0,"SE_Player_FAB22","Stroud vs. HopeTech (FC09)",""
0x00044CFE,"SQ_TreasureMap_Resource_DifferentSystem","",""
0x00044CFF,"SQ_TreasureMap_Resource_Local","",""
0x00044D00,"SQ_TreasureMap_Resource_SamePlanet","",""
0x00044D05,"SQ_TreasureMap_Space_DifferentSystem","",""
0x00045621,"DialogueParadiso_Convo_BeachGuests01","",""
0x00045622,"DialogueParadiso_Convo_Meditation01","",""
0x00045640,"MQ_TutorialQuest","",""
0x00045F45,"SQ_TreasureMap_Surface_DifferentSystem","",""
0x00045F46,"SQ_TreasureMap_Surface_SamePlanet","",""
0x00045F48,"SQ_TreasureMap_Surface_Local","",""
0x00045F9F,"MQ401h","One Small Step","In an alternate universe, the Lodge is now home to a gang of Va'ruun Zealots led by Andreja."
0x00046049,"SE_Player_FAB21","GalBank Revenge (CF04)",""
0x00046617,"SQ_Airlock","",""
0x00046F6E,"OE_KT_KeepInMine","",""
0x0004789E,"SE_Player_FAB20","Castillo's Revenge (CF03)",""
0x000478A1,"OE_MP_AcelesVsTerrormorph","","Aceles vs. Terrormorph."
0x000478A2,"OE_MP_AcelesDropoff","Operation: Aceles Drop","""An Aceles and it's Handlers have just gotten off a ship and are about to depart soon. You can talk to them a bit if you want."""
0x000478EB,"DialogueCrowdConvo_MQ204_02","MQ204 Crowd Actor Conversations",""
0x000478F1,"DialogueCrowdConvo_MQ204_03","MQ204 Crowd Actor Conversations",""
0x00048498,"DialogueParadiso_Convo_EmilianDirk01","",""
0x0004A449,"SE_Player_FAB19b","Juno Redux (MS03)",""
0x0004A44A,"SE_Player_FAB19a","Hostile Juno (MS03)",""
0x0004A547,"SQ_TreasureMap_Space_SameSystem","",""
0x0004A580,"SQ_TreasureMap_Resource_SameSystem","",""
0x0004B540,"SE_EnemyShips_Varuun00","Trader",""
0x0004B541,"SE_EnemyShips_Varuun01","Trader",""
0x0004B581,"SE_Player_FAB18a","Genghis 1st (MS02)",""
0x0004B959,"RQ_Settlement_Scan_01","Creature Analysis",""
0x0004BD08,"MQ401g","One Small Step","In an alternate universe, the Lodge is now home to a gang of Va'ruun Zealots led by Andreja."
0x0004BD87,"OE_AustinF_Prospectors","",""
0x0004BD88,"OE_AustinF_CreatureCage","Creature Cage","Main Template. Contains all Alias data for all templates. Not intended to be used by anyone as-is. Please consider using a specific Template for a specific use."
0x0004BD89,"OE_AustinF_PredatorsAttackGuard","",""
0x0004BD8A,"OE_AustinF_PredatorsAttackMiners","Miner Inconveniences",""
0x0004BD9C,"OE_KT_HiveMine","",""
0x0004C408,"OE_KT_MineAlone","Mine Alone","Scenario: Simple vendor scene. May have a ship nearby, if desired.\n"
0x0005072A,"SE_FAB17","Vanguard vs Smuggler",""
0x00050988,"DialogueCFTheKey_RandomConvo07","",""
0x00050989,"DialogueCFTheKey_RandomConvo06","",""
0x0005098A,"DialogueCFTheKey_RandomConvo04","",""
0x0005098B,"DialogueCFTheKey_RandomConvo03","",""
0x0005098C,"DialogueCFTheKey_RandomConvo05","",""
0x0005098D,"DialogueCFTheKey_RandomConvo08","",""
0x0005098E,"DialogueCFTheKey_RandomConvo09","",""
0x0005098F,"DialogueCFTheKey_RandomConvo10","",""
0x00050CA4,"OE_TerrormorphEncounter","Guarding the Vanguard",""
0x00051687,"MQ207C_RafaelPostquest","[Entangled - Rafael Postquest]","In MQ207C: Entangled, the player chose to save Rafael. The dialogue in this quest occurs after the end of MQ207C, but before Rafael returns to New Atlantis. He's still haggard and recovering from his ordeal."
0x000518F0,"SE_Player_ZW11","CF08 Post Quest Encounter",""
0x00051ABA,"DNMQ101_Kreet","",""
0x00051B26,"DialogueUCNAConvo_Mercantile01","",""
0x00051B27,"DialogueUCNAConvo_Mercantile02","",""
0x00051B28,"DialogueUCNAConvo_Mercantile03","",""
0x00051B29,"DialogueUCNAConvo_Mercantile04","",""
0x00052514,"SE_Player_FAB16","Mantis Shakedown (MS04)",""
0x0005434B,"MQ_PirateConversation01","Kreet Pirate Scene - Lab",""
0x0005512A,"CityNewAtlantisTransitControl","NAT Control Quest",""
0x00057B00,"OE_KT_EmergencyRepairs","Emergency Repairs","Scenario: Simple vendor scene. May have a ship nearby, if desired.\n"
0x00057FE8,"SE_Player_FAB15","Mantis Freakout (MS04)",""
0x00058FB1,"COM_Companion_Andreja_Convo_NewAtlantis04","Andreja NPC Chat",""
0x00058FB2,"COM_Companion_Andreja_Convo_RedMile01","Andreja NPC Chat",""
0x00058FB3,"COM_Companion_Andreja_Convo_AkilaCity01","Andreja NPC Chat",""
0x00058FB4,"COM_Companion_Andreja_Convo_NewAtlantis05","Andreja NPC Chat",""
0x00058FB6,"COM_Companion_Andreja_Convo_Neon03","Andreja NPC Chat",""
0x00058FB7,"COM_Companion_Andreja_Convo_AkilaCity02","Andreja NPC Chat",""
0x0005AC1F,"OE_KT_LandedShip","Landed Ship",""
0x0005AC20,"OE_KT_UCMilitaryTrainingExercise","","Sets up a group around the main center marker, allows all creature aliases. This is a very general Template and can be refined further."
0x0005B458,"SE_KMK01","Ship needs spare parts",""
0x0005B4B0,"SE_AC01","Marooned",""
0x0005B944,"SE_Player_FAB14","Delivery Truck",""
0x0005BD6F,"DialogueCrimeGuardShips","Guard ship crime dialogue",""
0x0005C8C4,"DialogueGenericPlayer","",""
0x0005EA5B,"DialogueTheFirstNPCs","",""
0x0005EAEF,"SE_ZW15","Legendary Ship: Ecliptic Battleship Camulus",""
0x0005EAF0,"SE_ZW14","Legendary Ship: Va'ruun Shroudbearer",""
0x0005EC57,"OE_KT_IncomingStorm","Incoming Storm","Main Template. Contains all Alias data for all templates. Not intended to be used by anyone as-is. Please consider using a specific Template for a specific use."
0x0005EFFB,"MQ_PirateConversation05","Kreet Pirate Scene - Lab 2",""
0x0005EFFC,"MQ_PirateConversation04","Kreet Pirate Scene - Kitchen",""
0x0005EFFD,"MQ_PirateConversation02","Kreet Pirate Scene - Rummage",""
0x0005EFFE,"MQ_PirateConversation03","Kreet Pirate Scene - Welding",""
0x0005F193,"RE_Parent","",""
0x0005F837,"SE_Player_FAB13","Sea Shanty",""
0x0005FEDC,"City_NA_FAB_Quest25","Commercial: Corpo Romeo & Juliet",""
0x0005FEDD,"City_NA_FAB_Quest24","Commercial: Red Mile Fans",""
0x0005FEDE,"City_NA_FAB_Quest23","Commercial: Fancy Dinner",""
0x0005FEDF,"City_NA_FAB_Quest22","Commercial: Burned Out",""
0x0005FEE0,"City_NA_FAB_Quest21","Commercial: Outland Trackers",""
0x00061754,"DialogueUCNewAtlantisSecurity","",""
0x000617BA,"RQ_Settlement_KillHostileHumans_01","Security Concerns",""
0x000626EC,"COM_Companion_Andreja_Convo_Barrett01","Andreja / Barrett Conversation 02",""
0x000626FF,"OE_AustinF_DeadManBox02","","There are corpses but no survivors, one or two creature corpses, and there may or may not be a ship. When the player enters the Interior Trigger, it selects one of several variations that can result in a Terrormorph spawning, or a couple of local Predator Creatures might run into the center of the OE to sandbox. "
0x00062700,"OE_AustinF_DeadManBox","",""
0x00062B48,"SE_FAB11","Gas Station",""
0x00062B49,"SE_FAB12","Chunks To Go",""
0x00062F20,"SE_KMK03","Pirates vs. UC SysDef",""
0x00063085,"DialogueCrimsonFleetShips","",""
0x00063A7F,"SE_Player_AC04","Prank Caller",""
0x00063CF7,"SE_Player_AC03","Research Outpost",""
0x00063F4C,"FFNeonZ08","Mob Mentality",""
0x0006422E,"DialogueUCNAConvo_SecurityOffice","",""
0x00064297,"MB_Cargo02Local","Deliver <Alias=PrimaryRef> to <Alias=TargetPlanetLocation>",""
0x00064E64,"DialogueUCNAConvo_Spaceport03","",""
0x0006618C,"MB_Passenger12OEMinerTarget","Transport <Alias=PrimaryRef> to <Alias=TargetPlanetLocation>",""
0x000661AF,"MB_Passenger09OEScientistTarget","Transport <Alias=PrimaryRef> to <Alias=TargetPlanetLocation>",""
0x000661E8,"MB_Passenger11OEMiner","Transport <Alias=PrimaryRef> to <Alias=TargetPlanetLocation>",""
0x00066203,"MB_Passenger10OEColonistTarget","Transport <Alias=PrimaryRef> to <Alias=TargetPlanetLocation>",""
0x000664E3,"Trait_RaisedUniversalBoxEnabler","[Raised Universal Lootbox Enabler]",""
0x00067F99,"OE_MP_Creatures01","","Apex Predators vs Medium Herd Prey"
0x00067FA3,"OE_MP_Creatures03","","Apex Predators vs Medium Herd Prey"
0x00067FAB,"OE_MP_Creatures07","",""
0x00067FAC,"OE_MP_Creatures04","",""
0x00067FBC,"OE_MP_Creatures06","",""
0x00067FD0,"OE_MP_Creatures05","",""
0x00068C50,"DialogueFCNeonConvo_DiosdadoKarolina01","",""
0x00068C51,"DialogueFCNeonConvo_SauvageKarolina01","",""
0x00068C52,"DialogueFCNeonConvo_SauvageKarolina02","",""
0x00068EA8,"MQ101LandingEncounter01","",""
0x00069454,"DialogueUCNAConvo_Viewport02","",""
0x00069455,"DialogueUCNAConvo_Viewport01","",""
0x00069456,"DialogueUCNAConvo_Viewport03","",""
0x00069F15,"SE_Player_FAB10","Tour Company",""
0x0006A35B,"OE_KT_AutomatedFacility","Automated Facility","Main Template. Contains all Alias data for all templates. Not intended to be used by anyone as-is. Please consider using a specific Template for a specific use."
0x0006A94B,"City_NA_FAB_Quest02","Residential: Apollo Home Buyers",""
0x0006A94C,"City_NA_FAB_Quest04","Residential: Sad Picnic",""
0x0006A960,"MQ101PostQuest","Post Quest Hellos",""
0x0006A9EB,"BE_CustomDerelict_04","[BE - Custom Derelict]",""
0x0006A9EC,"BE_CustomDerelict_03","[BE - Custom Derelict]",""
0x0006A9ED,"BE_CustomDerelict_02","[BE - Custom Derelict]",""
0x0006A9EE,"BE_CustomDerelict_01","[BE - Custom Derelict]",""
0x0006A9EF,"BE_CustomDerelict_00","[BE - Custom Derelict]",""
0x0006A9F0,"BE_CustomDerelict","[BE - Custom Derelict]",""
0x0006AA90,"UC_NA_CL_VanguardScene","",""
0x0006B802,"MB_Cargo01Far","Deliver <Alias=PrimaryRef> to <Alias=TargetPlanetLocation>",""
0x0006C404,"MB_Passenger01Far","Transport <Alias=PrimaryRef> to <Alias=TargetPlanetLocation>",""
0x0006CD98,"MQ404","Foreknowledge",""
0x0006CF2F,"COM_Companion_Andreja_Convo_Barrett02","Andreja / Barrett Conversation 02",""
0x0006CF30,"COM_Companion_Andreja_Convo_SamCoe01","Andreja / Sam Coe Conversation 01",""
0x0006CF31,"COM_Companion_Andreja_Convo_SarahMorgan01","Andreja / Sarah Morgan Conversation 01",""
0x0006CF32,"COM_Companion_Andreja_Convo_NewAtlantis03","Andreja NPC Chat",""
0x0006CF33,"COM_Companion_Andreja_Convo_NewAtlantis02","Andreja NPC Chat",""
0x0006CF34,"COM_Companion_Andreja_Convo_Neon01","Andreja NPC Chat",""
0x0006CF35,"COM_Companion_Andreja_Convo_SarahMorgan02","Andreja / Sarah Morgan Conversation 02",""
0x0006CF36,"COM_Companion_Andreja_Convo_SamCoe02","Andreja / Sam Coe Conversation 02",""
0x0006D59B,"City_NA_Botany03_FlowerStateChange","[Hero Tree Flower Enabler]","This quest handles enabling the hero tree flowers when the player leaves New Atlantis"
0x0006DA88,"DR018_EavesdroppingScene02","",""
0x0006E053,"SE_Player_FAB09","Transport Friendly Warning",""
0x0006E0A1,"FFNeonZ07","Saburo's Solution",""
0x00070318,"MB_Passenger02Local","Transport <Alias=PrimaryRef> to <Alias=TargetPlanetLocation>",""
0x00070319,"MB_Survey01_OLD","Survey: Find a site in <Alias=TargetSystemLocation> for a <Alias=PrimaryRef>",""
0x0007031D,"City_NA_Viewport_Base","New Atlantis - Viewport Base Dialogue",""
0x0007092C,"SQ_Parent","",""
0x000709A7,"SQ_COM_CREW_AngerCombatOverride","",""
0x000738B7,"DialogueCFTheKey_RandomIdles_LastNova01","",""
0x000759BE,"MB_Survey_OLD","Survey: Find a site in <Alias=TargetSystemLocation> for a <Alias=PrimaryRef>",""
0x00076277,"OE_KT_ChowTime","Chow Time","Main Template. Contains all Alias data for all templates. Not intended to be used by anyone as-is. Please consider using a specific Template for a specific use."
0x0007701F,"CF06_SecurityConversation_05","",""
0x00077020,"CF06_TechnicianConversation_02","",""
0x00077021,"CF06_TechnicianConversation_03","",""
0x00077022,"CF06_TechnicianConversation_04","",""
0x00077023,"CF06_TechnicianConversation_05","",""
0x00077024,"CF06_TechnicianConversation_06","",""
0x00077025,"CF06_TechnicianConversation_07","",""
0x00077026,"CF06_TechnicianConversation_08","",""
0x00077027,"CF06_TechnicianConversation_09","",""
0x00077028,"CF06_TechnicianConversation_10","",""
0x00077029,"CF06_SecurityConversation_01","",""
0x0007702A,"CF06_SecurityConversation_02","",""
0x0007702B,"CF06_SecurityConversation_03","",""
0x0007702C,"CF06_SecurityConversation_04","",""
0x000783B0,"DR018_EavesdroppingScene01","",""
0x0007BDBF,"City_NA_Aquilus01","",""
0x0007C6A4,"SE_DerelictTemplate","Derelict Ship Template",""
0x0007C6A9,"SQ_GravitationalTraits","",""
0x0007C701,"OE_BryanB_TerrormorphVSBiomePredators","Terrormorph vs. biome predators",""
0x0007C703,"OE_BryanB_AcelesVanguardVSTerrormorph","Aceles Vanguard vs Terrormorph",""
0x0007C704,"OE_BryanB_TerrormorphVSScientists","Terrormorph attacking scientists",""
0x0007C7DD,"SE_Player_FAB08","Starborn Trader",""
0x0007C801,"CF06_TechnicianConversation_01","",""
0x0007D4A7,"OE_KT_RepoMen","Bounty Guards","Scenario: Repo Men come to confiscate the player's ship."
0x0007D4CF,"SE_Player_KT_FalseContact","False Contact - Space Encounter","SE to complement OE_KT_FalseContact"
0x0007DFCC,"DialogueECSConstantRoaming","","This is the ECS Constant Space cell dialogue. This covers hailing and such whent he player isn't in the ECS Constant."
0x0007E2B4,"SE_Player_FAB07","Lillian Hart reactivity",""
