OModFormID, OModEditorID, OModFull, Index, ValueType, FunctionType, PropertyName, Value1, Value2, Step
0x00005B87,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaQueen","Octopede A Coral Crawler Grylloba Queen Special",7,4,2,NKEY,"KYWD:003E5BF6 ENV_AFFL_Creature_InjuryType_SoleAttack_Sharp",0,0.000000
0x00005B87,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaQueen","Octopede A Coral Crawler Grylloba Queen Special",8,4,2,NKEY,"KYWD:000F4CF6 s_Creature_Skin_03",0,0.000000
0x000060AA,"mod_Armor_Helmet_Quality_04_CrimsonFleet_Charger","",1,1,1,AVAL,0.750000,0.000000,0.000000
0x000060AA,"mod_Armor_Helmet_Quality_04_CrimsonFleet_Charger","",2,0,2,ARAT,19,0,0.000000
0x000060AA,"mod_Armor_Helmet_Quality_04_CrimsonFleet_Charger","",3,4,2,AKEY,"KYWD:003A0B3A dn_Armor_HasQuality_4",0,0.000000
0x000060AA,"mod_Armor_Helmet_Quality_04_CrimsonFleet_Charger","",4,6,2,ADMG,"DMGT:00023190",19.000000,0.000000
0x000060AA,"mod_Armor_Helmet_Quality_04_CrimsonFleet_Charger","",5,6,2,ADMG,"DMGT:00060A81",19.000000,0.000000
0x000060AC,"mod_Armor_Helmet_Quality_03_CrimsonFleet_Charger","",1,1,1,AVAL,0.500000,0.000000,0.000000
0x000060AC,"mod_Armor_Helmet_Quality_03_CrimsonFleet_Charger","",2,0,2,ARAT,11,0,0.000000
0x000060AC,"mod_Armor_Helmet_Quality_03_CrimsonFleet_Charger","",3,4,2,AKEY,"KYWD:003A0B39 dn_Armor_HasQuality_3",0,0.000000
0x000060AC,"mod_Armor_Helmet_Quality_03_CrimsonFleet_Charger","",4,6,2,ADMG,"DMGT:00023190",11.000000,0.000000
0x000060AC,"mod_Armor_Helmet_Quality_03_CrimsonFleet_Charger","",5,6,2,ADMG,"DMGT:00060A81",11.000000,0.000000
0x000060AF,"mod_Armor_Helmet_Quality_02_CrimsonFleet_Charger","",1,1,1,AVAL,0.250000,0.000000,0.000000
0x000060AF,"mod_Armor_Helmet_Quality_02_CrimsonFleet_Charger","",2,0,2,ARAT,3,0,0.000000
0x000060AF,"mod_Armor_Helmet_Quality_02_CrimsonFleet_Charger","",3,4,2,AKEY,"KYWD:003A0B38 dn_Armor_HasQuality_2",0,0.000000
0x000060AF,"mod_Armor_Helmet_Quality_02_CrimsonFleet_Charger","",4,6,2,ADMG,"DMGT:00023190",3.000000,0.000000
0x000060AF,"mod_Armor_Helmet_Quality_02_CrimsonFleet_Charger","",5,6,2,ADMG,"DMGT:00060A81",3.000000,0.000000
0x000060B0,"mod_Armor_Helmet_Quality_04_CrimsonFleet_Officer","",1,1,1,AVAL,0.750000,0.000000,0.000000
0x000060B0,"mod_Armor_Helmet_Quality_04_CrimsonFleet_Officer","",2,0,2,ARAT,19,0,0.000000
0x000060B0,"mod_Armor_Helmet_Quality_04_CrimsonFleet_Officer","",3,4,2,AKEY,"KYWD:003A0B3A dn_Armor_HasQuality_4",0,0.000000
0x000060B0,"mod_Armor_Helmet_Quality_04_CrimsonFleet_Officer","",4,6,2,ADMG,"DMGT:00023190",19.000000,0.000000
0x000060B0,"mod_Armor_Helmet_Quality_04_CrimsonFleet_Officer","",5,6,2,ADMG,"DMGT:00060A81",19.000000,0.000000
0x000060B1,"mod_Armor_Helmet_Quality_03_CrimsonFleet_Officer","",1,1,1,AVAL,0.500000,0.000000,0.000000
0x000060B1,"mod_Armor_Helmet_Quality_03_CrimsonFleet_Officer","",2,0,2,ARAT,11,0,0.000000
0x000060B1,"mod_Armor_Helmet_Quality_03_CrimsonFleet_Officer","",3,4,2,AKEY,"KYWD:003A0B39 dn_Armor_HasQuality_3",0,0.000000
0x000060B1,"mod_Armor_Helmet_Quality_03_CrimsonFleet_Officer","",4,6,2,ADMG,"DMGT:00023190",11.000000,0.000000
0x000060B1,"mod_Armor_Helmet_Quality_03_CrimsonFleet_Officer","",5,6,2,ADMG,"DMGT:00060A81",11.000000,0.000000
0x000060B2,"mod_Armor_Helmet_Quality_02_CrimsonFleet_Officer","",1,1,1,AVAL,0.250000,0.000000,0.000000
0x000060B2,"mod_Armor_Helmet_Quality_02_CrimsonFleet_Officer","",2,0,2,ARAT,3,0,0.000000
0x000060B2,"mod_Armor_Helmet_Quality_02_CrimsonFleet_Officer","",3,4,2,AKEY,"KYWD:003A0B38 dn_Armor_HasQuality_2",0,0.000000
0x000060B2,"mod_Armor_Helmet_Quality_02_CrimsonFleet_Officer","",4,6,2,ADMG,"DMGT:00023190",3.000000,0.000000
0x000060B2,"mod_Armor_Helmet_Quality_02_CrimsonFleet_Officer","",5,6,2,ADMG,"DMGT:00060A81",3.000000,0.000000
0x00007003,"mod_Legendary_Aspirational_ValueAdjust04","",1,0,2,GVAL,6500,0,0.000000
0x00007004,"mod_Legendary_Aspirational_ValueAdjust02","",1,0,2,GVAL,4500,0,0.000000
0x00007005,"mod_Legendary_Aspirational_ValueAdjust01","",1,0,2,GVAL,2500,0,0.000000
0x00007006,"mod_Legendary_Aspirational_ValueAdjust03","",1,0,2,GVAL,5575,0,0.000000
0x000079CD,"mod_Shotty_Muzzle_MuzzleBrake","Muzzle Brake",1,4,2,WKEY,"KYWD:00003774 remapNode_ProjectileNode_P-ProjectileNode",0,0.000000
0x0000C521,"mod_Microgun_Internal_BulletHose","Bullet Hose",1,4,0,WOPR,"PROJ:0000C520",0,0.000000
0x0000C521,"mod_Microgun_Internal_BulletHose","Bullet Hose",2,1,1,WCO3,-0.115000,0.000000,0.000000
0x0000C521,"mod_Microgun_Internal_BulletHose","Bullet Hose",3,1,1,WCO2,-0.150000,0.000000,0.000000
0x0000C521,"mod_Microgun_Internal_BulletHose","Bullet Hose",4,1,1,WCO1,-0.150000,0.000000,0.000000
0x0000C521,"mod_Microgun_Internal_BulletHose","Bullet Hose",5,1,1,WMXR,0.100000,0.000000,0.000000
0x0000C521,"mod_Microgun_Internal_BulletHose","Bullet Hose",6,1,1,WMNR,0.100000,0.000000,0.000000
0x0000C521,"mod_Microgun_Internal_BulletHose","Bullet Hose",7,1,1,WSPD,0.125000,0.000000,0.000000
0x0000C521,"mod_Microgun_Internal_BulletHose","Bullet Hose",8,1,1,GVAL,0.500000,0.000000,0.000000
0x0000C521,"mod_Microgun_Internal_BulletHose","Bullet Hose",9,1,2,GWEI,0.220000,0.000000,0.000000
0x0000C521,"mod_Microgun_Internal_BulletHose","Bullet Hose",10,4,2,WKEY,"KYWD:003FE6D5 dn_HasInternalMod",0,0.000000
0x0000C521,"mod_Microgun_Internal_BulletHose","Bullet Hose",11,4,2,WKEY,"KYWD:0023D5FD s_20_HighPowerVelocityMuzzleBrake",0,0.000000
0x0000CA28,"mod_XM2311_Receiver_Custom","Custom Receiver",1,4,2,WKEY,"KYWD:00374EFA DontShowInUI",0,0.000000
0x0000F46A,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaRanged","Octopede A Coral Crawler Grylloba Ranged Special",1,4,0,NRCE,"RACE:00015B13 OctopedeARace",0,0.000000
0x0000F46A,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaRanged","Octopede A Coral Crawler Grylloba Ranged Special",2,4,0,NSKN,"ARMO:0004A987 Skin_OctopedeA_CoralCrawler_GryllobaRanged",0,0.000000
0x0000F46A,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaRanged","Octopede A Coral Crawler Grylloba Ranged Special",3,4,2,NINV,"WEAP:0022357D UnarmedOctopedeA_Base",0,0.000000
0x0000F46A,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaRanged","Octopede A Coral Crawler Grylloba Ranged Special",4,4,2,NKEY,"KYWD:00200B1F CCT_Instance_Name_Octopede",0,0.000000
0x0000F46A,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaRanged","Octopede A Coral Crawler Grylloba Ranged Special",5,4,2,NKEY,"KYWD:0009EB6C CCT_Instance_Name_Octopede003",0,0.000000
0x0000F46A,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaRanged","Octopede A Coral Crawler Grylloba Ranged Special",6,4,2,NKEY,"KYWD:003E5BF6 ENV_AFFL_Creature_InjuryType_SoleAttack_Sharp",0,0.000000
0x0000F46A,"mod_CCT_Skin_OctopedeACoralCrawler_GryllobaRanged","Octopede A Coral Crawler Grylloba Ranged Special",7,4,2,NKEY,"KYWD:000F4CF6 s_Creature_Skin_03",0,0.000000
0x000117E3,"mod_CCT_Size_Gigantic_Larva","Larva - Gigantic Size",1,1,0,NMMX,4.500000,5.000000,0.000000
0x000117E3,"mod_CCT_Size_Gigantic_Larva","Larva - Gigantic Size",2,4,2,NKEY,"KYWD:00138EDD s_Creature_Size_03",0,0.000000
0x00015CD9,"mod_M1919_Slide_Standard","Standard Slide",1,4,2,WKEY,"KYWD:00374EFA DontShowInUI",0,0.000000
0x00015CDA,"mod_XM2311_Slide_Custom","Custom Slide",1,4,2,WKEY,"KYWD:00374EFA DontShowInUI",0,0.000000
0x000164D8,"mod_Armor_Helmet_ENV_Mercury","Thermal Resistance",1,4,2,AKEY,"KYWD:00374EFA DontShowInUI",0,0.000000
0x000164D8,"mod_Armor_Helmet_ENV_Mercury","Thermal Resistance",2,6,2,AACT,"AVIF:00248D31 ENV_Resist_Airborne",15.000000,0.000000
0x000164D8,"mod_Armor_Helmet_ENV_Mercury","Thermal Resistance",3,6,2,AACT,"AVIF:00248D30 ENV_Resist_Corrosive",15.000000,0.000000
0x000164D8,"mod_Armor_Helmet_ENV_Mercury","Thermal Resistance",4,6,2,AACT,"AVIF:00248D2F ENV_Resist_Radiation",15.000000,0.000000
0x000164D8,"mod_Armor_Helmet_ENV_Mercury","Thermal Resistance",5,6,2,AACT,"AVIF:00248D32 ENV_Resist_Thermal",15.000000,0.000000
0x000164D9,"mod_Armor_Spacesuit_ENV_Mercury","Airborne Resistance",1,4,2,AKEY,"KYWD:00374EFA DontShowInUI",0,0.000000
0x000164D9,"mod_Armor_Spacesuit_ENV_Mercury","Airborne Resistance",2,6,2,AACT,"AVIF:00248D31 ENV_Resist_Airborne",25.000000,0.000000
0x000164D9,"mod_Armor_Spacesuit_ENV_Mercury","Airborne Resistance",3,6,2,AACT,"AVIF:00248D30 ENV_Resist_Corrosive",25.000000,0.000000
0x000164D9,"mod_Armor_Spacesuit_ENV_Mercury","Airborne Resistance",4,6,2,AACT,"AVIF:00248D2F ENV_Resist_Radiation",25.000000,0.000000
0x000164D9,"mod_Armor_Spacesuit_ENV_Mercury","Airborne Resistance",5,6,2,AACT,"AVIF:00248D32 ENV_Resist_Thermal",25.000000,0.000000
0x000164DB,"mod_Armor_Backpack_ENV_Mercury","Airborne Resistance",1,4,2,AKEY,"KYWD:00374EFA DontShowInUI",0,0.000000
0x000164DB,"mod_Armor_Backpack_ENV_Mercury","Airborne Resistance",2,6,2,AACT,"AVIF:00248D31 ENV_Resist_Airborne",15.000000,0.000000
0x000164DB,"mod_Armor_Backpack_ENV_Mercury","Airborne Resistance",3,6,2,AACT,"AVIF:00248D30 ENV_Resist_Corrosive",15.000000,0.000000
0x000164DB,"mod_Armor_Backpack_ENV_Mercury","Airborne Resistance",4,6,2,AACT,"AVIF:00248D2F ENV_Resist_Radiation",15.000000,0.000000
0x000164DB,"mod_Armor_Backpack_ENV_Mercury","Airborne Resistance",5,6,2,AACT,"AVIF:00248D32 ENV_Resist_Thermal",15.000000,0.000000
0x0001671C,"bot_ModelA_Civ_01","",1,4,2,NINV,"WEAP:002C7D29 crModelA_Equinox",0,0.000000
0x0001671C,"bot_ModelA_Civ_01","",2,4,2,NINV,"LVLI:0013048F LLI_RobotModelA_Civilian",0,0.000000
0x00018DE6,"SpaceshipEnergyGatlingWeaponMod","Spaceship Gatling Laser",1,4,2,SDMG,"AVIF:00011586 ShipSystemDamageWeightWeaponSlotA",0,0.000000
0x00018DE6,"SpaceshipEnergyGatlingWeaponMod","Spaceship Gatling Laser",2,6,2,SPAV,"00000000",2.000000,0.000000
0x000191EF,"mod_Grendel_Receiver_FullAuto_Standard","Fully Automatic",1,2,0,FORF,1,1,0.000000
0x000191EF,"mod_Grendel_Receiver_FullAuto_Standard","Fully Automatic",2,1,0,WSPS,17.000000,0.000000,0.000000
0x000191EF,"mod_Grendel_Receiver_FullAuto_Standard","Fully Automatic",3,4,0,WAIM,"AMDL:001A26BD",0,0.000000
0x000191EF,"mod_Grendel_Receiver_FullAuto_Standard","Fully Automatic",4,0,2,WTMC,-1,0,0.000000
0x000191EF,"mod_Grendel_Receiver_FullAuto_Standard","Fully Automatic",5,4,2,WKEY,"KYWD:00374EFA DontShowInUI",0,0.000000
0x000191F0,"mod_Grendel_Mag_Standard","Standard Magazine",1,4,2,WKEY,"KYWD:00374EFA DontShowInUI",0,0.000000
0x000191F1,"mod_Grendel_Barrel_Slab","Tech Barrel",1,1,1,WABS,0.075000,0.075000,0.000000
0x000191F1,"mod_Grendel_Barrel_Slab","Tech Barrel",2,1,1,WCO4,0.025000,0.025000,0.000000
0x000191F1,"mod_Grendel_Barrel_Slab","Tech Barrel",3,1,1,WCO3,-0.250000,-0.250000,0.000000
0x000191F1,"mod_Grendel_Barrel_Slab","Tech Barrel",4,1,1,WCO6,-0.100000,-0.100000,0.000000
0x000191F1,"mod_Grendel_Barrel_Slab","Tech Barrel",5,1,1,WCO2,-0.050000,-0.050000,0.000000
0x000191F1,"mod_Grendel_Barrel_Slab","Tech Barrel",6,1,1,WCO1,-0.050000,-0.050000,0.000000
0x000191F1,"mod_Grendel_Barrel_Slab","Tech Barrel",7,1,1,WRC2,0.075000,0.075000,0.000000
0x000191F1,"mod_Grendel_Barrel_Slab","Tech Barrel",8,1,1,WRC1,0.075000,0.075000,0.000000
0x000191F1,"mod_Grendel_Barrel_Slab","Tech Barrel",9,1,1,WRC5,-0.075000,-0.075000,0.000000
0x000191F1,"mod_Grendel_Barrel_Slab","Tech Barrel",10,1,1,WMXR,0.225000,0.225000,0.000000
0x000191F1,"mod_Grendel_Barrel_Slab","Tech Barrel",11,1,1,WMNR,0.225000,0.225000,0.000000
0x000191F1,"mod_Grendel_Barrel_Slab","Tech Barrel",12,1,1,WSTS,0.125000,0.125000,0.000000
0x000191F1,"mod_Grendel_Barrel_Slab","Tech Barrel",13,1,1,GVAL,0.050000,0.050000,0.000000
0x000191F1,"mod_Grendel_Barrel_Slab","Tech Barrel",14,1,2,GWEI,0.200000,0.200000,0.000000
0x000191F1,"mod_Grendel_Barrel_Slab","Tech Barrel",15,4,2,WKEY,"KYWD:00003774 remapNode_ProjectileNode_P-ProjectileNode",0,0.000000
0x000191F4,"OLDmod_Grendel_Scope_SightsIronGlow","Tritium Sights",1,4,2,WKEY,"KYWD:00044455 remapNode_CFrontSight_P-FrontSight",0,0.000000
0x000191F5,"mod_Grendel_Barrel_Standard","Standard Barrel",1,4,2,WKEY,"KYWD:00374EFA DontShowInUI",0,0.000000
0x000191F5,"mod_Grendel_Barrel_Standard","Standard Barrel",2,4,2,WKEY,"KYWD:00003774 remapNode_ProjectileNode_P-ProjectileNode",0,0.000000
0x000193E5,"mod_PumpShotgun_Grip_Stock","Stock",1,1,1,WABS,0.100000,0.000000,0.000000
0x000193E5,"mod_PumpShotgun_Grip_Stock","Stock",2,1,1,WCO4,0.100000,0.100000,0.000000
0x000193E5,"mod_PumpShotgun_Grip_Stock","Stock",3,1,1,WCO3,-0.100000,-0.100000,0.000000
0x000193E5,"mod_PumpShotgun_Grip_Stock","Stock",4,1,1,WCO6,-0.100000,-0.100000,0.000000
0x000193E5,"mod_PumpShotgun_Grip_Stock","Stock",5,1,1,WCO2,-0.100000,-0.100000,0.000000
0x000193E5,"mod_PumpShotgun_Grip_Stock","Stock",6,1,1,WCO1,-0.100000,-0.100000,0.000000
0x000193E5,"mod_PumpShotgun_Grip_Stock","Stock",7,1,1,WRC2,0.200000,0.200000,0.000000
0x000193E5,"mod_PumpShotgun_Grip_Stock","Stock",8,1,1,WRC1,0.200000,0.200000,0.000000
0x000193E5,"mod_PumpShotgun_Grip_Stock","Stock",9,1,1,WRC5,-0.200000,-0.200000,0.000000
0x000193E5,"mod_PumpShotgun_Grip_Stock","Stock",10,1,1,WSTS,0.200000,0.200000,0.000000
0x000193E5,"mod_PumpShotgun_Grip_Stock","Stock",11,1,1,GVAL,0.100000,0.000000,0.000000
0x000193E5,"mod_PumpShotgun_Grip_Stock","Stock",12,1,2,GWEI,0.800000,0.000000,0.000000
0x000193E5,"mod_PumpShotgun_Grip_Stock","Stock",13,4,2,WKEY,"KYWD:003FE6D1 dn_HasGripMod",0,0.000000
0x0001BC48,"OLD_mod_LaserRifle_Receiver_Pirate","Pirate Receiver",1,6,1,WDTV,"DMGT:00060A81",0.500000,1.000000
0x0001BC48,"OLD_mod_LaserRifle_Receiver_Pirate","Pirate Receiver",2,4,2,WKEY,"KYWD:000A191C s_30_Auto",0,0.000000
0x0001BC48,"OLD_mod_LaserRifle_Receiver_Pirate","Pirate Receiver",3,4,2,WKEY,"KYWD:0004A0A2 WeaponTypeAutomatic",0,0.000000
0x0001BC4B,"mod_Equinox_Barrel_Standard","Standard Barrel",1,4,2,WKEY,"KYWD:00374EFA DontShowInUI",0,0.000000
0x0001BC4B,"mod_Equinox_Barrel_Standard","Standard Barrel",2,4,2,WKEY,"KYWD:0002ECBF remapNode_CPiston_P-Piston",0,0.000000
0x0001BC4B,"mod_Equinox_Barrel_Standard","Standard Barrel",3,4,2,WKEY,"KYWD:00003774 remapNode_ProjectileNode_P-ProjectileNode",0,0.000000
0x0001BC4C,"mod_LaserRifle_Scope_ReflexSight","Reflex Sight",1,1,0,ZFOV,0.000000,0.000000,0.000000
0x0001BC4C,"mod_LaserRifle_Scope_ReflexSight","Reflex Sight",2,4,2,WKEY,"KYWD:0009430E dn_HasScope_ReflexSight",0,0.000000
0x0001BC4E,"OLDmod_Orion_Pirate_PowerAmp","Laser Rifle Power Amp",1,6,1,WDTV,"KYWD:0004A0CB DamageTypeEnergy",0.500000,1.000000
0x0001BC80,"mod_CCT_Skin_OctopedeAHexohermit_CataxiNymph","Octopede A Hexohermit Cataxi Nymph Special",1,4,0,NRCE,"RACE:00015B13 OctopedeARace",0,0.000000
0x0001BC80,"mod_CCT_Skin_OctopedeAHexohermit_CataxiNymph","Octopede A Hexohermit Cataxi Nymph Special",2,4,0,NSKN,"ARMO:0004A989 Skin_OctopedeA_HexoHermit_CataxiNymph",0,0.000000
0x0001BC80,"mod_CCT_Skin_OctopedeAHexohermit_CataxiNymph","Octopede A Hexohermit Cataxi Nymph Special",3,4,2,NINV,"WEAP:0022357D UnarmedOctopedeA_Base",0,0.000000
0x0001BC80,"mod_CCT_Skin_OctopedeAHexohermit_CataxiNymph","Octopede A Hexohermit Cataxi Nymph Special",4,4,2,NINV,"WEAP:002D01CF UnarmedOctopedeA_Tail",0,0.000000
0x0001BC80,"mod_CCT_Skin_OctopedeAHexohermit_CataxiNymph","Octopede A Hexohermit Cataxi Nymph Special",5,4,2,NKEY,"KYWD:00200B1F CCT_Instance_Name_Octopede",0,0.000000
0x0001BC80,"mod_CCT_Skin_OctopedeAHexohermit_CataxiNymph","Octopede A Hexohermit Cataxi Nymph Special",6,4,2,NKEY,"KYWD:0009EB6F CCT_Instance_Name_Octopede006",0,0.000000
0x0001BC80,"mod_CCT_Skin_OctopedeAHexohermit_CataxiNymph","Octopede A Hexohermit Cataxi Nymph Special",7,4,2,NKEY,"KYWD:003E5BFA ENV_AFFL_Creature_InjuryType_Tail_Sharp",0,0.000000
0x0001BC80,"mod_CCT_Skin_OctopedeAHexohermit_CataxiNymph","Octopede A Hexohermit Cataxi Nymph Special",8,4,2,NKEY,"KYWD:00141506 s_Creature_Skin_02",0,0.000000
0x0001D618,"BuildableSpaceshipGravJumpMod","Grav Jump Mod",1,4,2,SDMG,"AVIF:0001158B ShipSystemDamageWeightGravDrive",0,0.000000
0x0001D618,"BuildableSpaceshipGravJumpMod","Grav Jump Mod",2,6,2,SPAV,"AVIF:00008223 SpaceshipGravJumpMaxPower",3.000000,0.000000
0x00022701,"mod_CCT_Special_RL039_Swarmling","RL039 Swarmling Speed and Jump Mult",1,6,0,NACV,"AVIF:00040CDC JumpMult",10.000000,0.000000
0x00022701,"mod_CCT_Special_RL039_Swarmling","RL039 Swarmling Speed and Jump Mult",2,6,0,NACV,"AVIF:000002DA SpeedMult",200.000000,0.000000
0x00022701,"mod_CCT_Special_RL039_Swarmling","RL039 Swarmling Speed and Jump Mult",3,4,2,NPRK,"PERK:0022FB18 CCT_DamageMod_RL039_Swarmling",0,0.000000
0x00022709,"LDCreatureMod_mod_Size_035_040","LD Specific Size 0.35 - 0.4",1,1,0,NMMX,0.350000,0.400000,0.000000
0x00022709,"LDCreatureMod_mod_Size_035_040","LD Specific Size 0.35 - 0.4",2,4,2,NKEY,"KYWD:0002D93B AnimArchetypeCreatureSmall",0,0.000000
0x00022709,"LDCreatureMod_mod_Size_035_040","LD Specific Size 0.35 - 0.4",3,4,2,NKEY,"KYWD:001804D4 s_Creature_Size_01",0,0.000000
0x0002270D,"mod_CCT_Combat_Tough","Tough",1,6,1,NACV,"AVIF:000002D4 Health",5.000000,0.000000
0x00025CE4,"bot_ModelS_Crimsonfleet_Turret_Heavy_Auto","",1,4,2,NINV,"AMMO:002B559B Ammo9x39mm",0,0.000000
0x00025CE4,"bot_ModelS_Crimsonfleet_Turret_Heavy_Auto","",2,4,2,NINV,"WEAP:002AC975 RobotModelS_Turret_FireAuto",0,0.000000
