FormID, EditorID, Name, Model, Value, Weight
0x0000556A, "InorgUncommonSilver", "Silver", "Landscape\resources\Ore\ResourceSilverChunk01.nif", "20", "0.600000"
0x0000556B, "InorgUncommonTungsten", "Tungsten", "Landscape\resources\Ore\ResourceTungstenChunk01.nif", "16", "0.700000"
0x0000556D, "InorgRareTitanium", "Titanium", "Landscape\resources\Ore\ResourceTitaniumChunk01.nif", "12", "0.500000"
0x0000556E, "InorgCommonIron", "Iron", "Landscape\resources\Ore\ResourceIronChunk01.nif", "8", "0.600000"
0x0000556F, "InorgRareTantalum", "Tantalum", "Landscape\resources\Ore\ResourceTantalumChunk01.nif", "23", "0.900000"
0x00005570, "InorgUncommonAlkanes", "Alkanes", "SetDressing\Outpost\lootcontainers\InorgUncommonAlkanes.nif", "13", "0.600000"
0x00005571, "InorgExoticYtterbium", "Ytterbium", "Landscape\resources\Ore\ResourceYtterbiumChunk01.nif", "38", "1.200000"
0x00005572, "InorgCommonNickel", "Nickel", "Landscape\resources\Ore\ResourceNickelChunk01.nif", "10", "0.600000"
0x00005573, "InorgRarePlatinum", "Platinum", "Landscape\resources\Ore\ResourcePlatinumChunk01.nif", "24", "0.800000"
0x00005574, "InorgExoticPalladium", "Palladium", "Landscape\resources\Ore\ResourcePalladiumChunk01.nif", "25", "0.700000"
0x00005575, "InorgUncommonCobalt", "Cobalt", "Landscape\resources\Ore\ResourceCobaltChunk01.nif", "12", "0.600000"
0x00005576, "InorgCommonCopper", "Copper", "Landscape\resources\Ore\ResourceCopperChunk01.nif", "10", "0.600000"
0x00005577, "InorgUncommonFluorine", "Fluorine", "SetDressing\Outpost\lootcontainers\InorgUncommonFluorine.nif", "12", "0.500000"
0x00005578, "InorgRareTetrafluorides", "Tetrafluorides", "SetDressing\Outpost\lootcontainers\InorgRareTetrafluorides.nif", "18", "0.700000"
0x00005579, "InorgRareGold", "Gold", "Landscape\resources\Ore\ResourceGoldChunk01.nif", "24", "0.800000"
0x0000557A, "InorgExoticIonicLiquids", "Ionic Liquids", "SetDressing\Outpost\lootcontainers\InorgExoticIonicLiquids.nif", "23", "0.800000"
0x0000557B, "InorgExoticAntimony", "Antimony", "Landscape\resources\Ore\ResourceAntimonyChunk01.nif", "30", "0.800000"
0x0000557C, "InorgCommonChlorine", "Chlorine", "SetDressing\Outpost\lootcontainers\InorgCommonChlorine.nif", "6", "0.500000"
0x0000557D, "InorgCommonAluminum", "Aluminum", "Landscape\Resources\Ore\ResourceAluminumOre01_Chunk.nif", "7", "0.500000"
0x0000557E, "InorgUncommonChlorosilanes", "Chlorosilanes", "SetDressing\Outpost\lootcontainers\InorgUncommonChlorosilanes.nif", "14", "0.600000"
0x0000557F, "InorgRareLithium", "Lithium", "Landscape\resources\Ore\ResourceLithiumChunk01.nif", "14", "0.500000"
0x00005580, "InorgRareNeodymium", "Neodymium", "Landscape\resources\Ore\ResourceNeodymiumChunk01.nif", "20", "0.800000"
0x00005585, "InorgUncommonBenzene", "Benzene", "SetDressing\Outpost\lootcontainers\InorgUncommonBenzene.nif", "19", "0.600000"
0x00005586, "InorgRareCarboxylicAcids", "Carboxylic Acids", "SetDressing\Outpost\lootcontainers\InorgRareCarboxylicAcids.nif", "12", "0.800000"
0x00005587, "InorgExoticNeon", "Neon", "SetDressing\Outpost\lootcontainers\InorgExoticNeon.nif", "16", "0.500000"
0x00005588, "InorgCommonArgon", "Argon", "setdressing/outpost/lootcontainers\InorgCommonArgon.nif", "5", "0.500000"
0x00005589, "InorgCommonUranium", "Uranium", "Landscape\Resources\Ore\ResourceUraniumChunk01.nif", "14", "0.700000"
0x0000558A, "InorgUncommonIridium", "Iridium", "Landscape\resources\Ore\ResourceIridiumChunk01.nif", "14", "0.700000"
0x0000558B, "InorgRareVanadium", "Vanadium", "Landscape\Resources\Ore\ResourceVanadiumChunk01.nif", "24", "0.700000"
0x0000558C, "InorgExoticPlutonium", "Plutonium", "Landscape\resources\Ore\ResourcePlutoniumChunk01.nif", "64", "1.600000"
0x0000558E, "InorgCommonHelium3", "Helium-3", "SetDressing\Outpost\lootcontainers\InorgCommonHelium3.nif", "5", "0.500000"
0x00005591, "InorgCommonWater", "Water", "setdressing/outpost/lootcontainers\InorgCommonWater.nif", "4", "0.500000"
0x0000559B, "OrgUniqueMemorySubstrate", "Memory Substrate", "SetDressing\MemorySubstrate\MemorySubstrate01.nif", "65", "1.400000"
0x0000559D, "OrgUniqueGastronomic", "Gastronomic Delight", "Items\Alien_Gastronomic_Delight\Alien_Gastronomic_Delight.nif", "66", "1.500000"
0x0000559E, "OrgUniqueLuxuryTextile", "Luxury Textile", "SetDressing\LuxuryTextile\LuxuryTextile01.nif", "58", "1.500000"
0x000055A6, "OrgExoticPolymer", "Polymer", "SetDressing\Exotics\Polymer01.nif", "20", "0.500000"
0x000055A7, "OrgUncommonOrnamental", "Ornamental Material", "SetDressing\Resources\Organic\OrgResource_Ornamental.nif", "11", "0.500000"
0x000055A8, "OrgUncommonCosmetic", "Cosmetic", "SetDressing\uncommon\Cosmetic01.nif", "8", "0.500000"
0x000055A9, "OrgRareAnalgesic", "Analgesic", "SetDressing\rare\Analgesic01.nif", "12", "0.500000"
0x000055AA, "OrgUniqueHighTensileSpidroin", "High-Tensile Spidroin", "SetDressing\hightensilespidroin\HighTensileSpidroin01.nif", "62", "1.300000"
0x000055AB, "OrgUncommonAntimicrobial", "Antimicrobial", "SetDressing\uncommon\Antimicrobial01.nif", "10", "0.500000"
0x000055AC, "OrgUncommonSpice", "Spice", "SetDressing\uncommon\Spice01.nif", "11", "0.500000"
0x000055AD, "OrgRareSedative", "Sedative", "Items\Alien_Gastronomic_Delight\OrgRareSedative.nif", "12", "0.500000"
0x000055AE, "OrgExoticStimulant", "Stimulant", "setdressing/exotics\Generic01.nif", "20", "0.500000"
0x000055AF, "OrgCommonFiber", "Fiber", "SetDressing\Fiber\Fiber01.nif", "4", "0.500000"
0x000055B0, "OrgUncommonMembrane", "Membrane", "SetDressing\Membrane\Membrane01.nif", "9", "0.500000"
0x000055B1, "OrgRareAdhesive", "Adhesive", "SetDressing\rare\Adhesive01.nif", "12", "0.500000"
0x000055B2, "OrgExoticBiosuppressant", "Biosuppressant", "SetDressing\Exotics\Biosuppressant01.nif", "16", "0.500000"
0x000055B3, "OrgUniqueImmunostimulant", "Immunostimulant", "Items\Alien_Gastronomic_Delight\OrgUniqueImmunostimulant.nif", "58", "1.300000"
0x000055B8, "OrgRareAromatic", "Aromatic", "SetDressing\rare\Aromatic01.nif", "11", "0.500000"
0x000055B9, "OrgCommonStructural", "Structural Material", "SetDressing\resources\Structural\OrgResource_Structural.nif", "7", "0.500000"
0x000055BA, "OrgExoticLubricant", "Lubricant", "SetDressing\Exotics\Lubricant01.nif", "18", "0.500000"
0x000055CB, "OrgCommonToxin", "Toxin", "SetDressing\MetabolicAgent\Toxin01.nif", "8", "0.500000"
0x000055CC, "OrgCommonSealant", "Sealant", "SetDressing\MetabolicAgent\Sealant01.nif", "6", "0.500000"
0x000055CD, "OrgRareAminoAcids", "Amino Acids", "SetDressing\rare\AminoAcids01.nif", "10", "0.500000"
0x000055CE, "OrgExoticSolvent", "Solvent", "SetDressing\Exotics\Solvent01.nif", "19", "0.500000"
0x000057D9, "InorgUncommonBeryllium", "Beryllium", "Landscape\resources\Ore\ResourceBerylliumChunk01.nif", "12", "0.500000"
0x000057DD, "InorgExoticXenon", "Xenon", "SetDressing\Outpost\lootcontainers\InorgExoticXenon.nif", "27", "0.800000"
0x000057DF, "InorgExoticCaesium", "Caesium", "SetDressing\Outpost\lootcontainers\InorgExoticCaesium01.nif", "25", "0.800000"
0x000057E1, "InorgExoticEuropium", "Europium", "Landscape\resources\Ore\ResourceEuropiumChunk01.nif", "40", "1.000000"
0x00005DEC, "InorgUniqueAldumite", "Aldumite", "Landscape\resources\Ore\ResourceAldumiteChunk01.nif", "84", "1.900000"
0x00005DED, "InorgUniqueTasine", "Tasine", "SetDressing\Container\InorgUniqueTasine.nif", "52", "1.200000"
0x00005DEE, "InorgUniqueVeryl", "Veryl", "setdressing/container\InorgUniqueVeryl.nif", "40", "0.900000"
0x00005DEF, "InorgUniqueVytinium", "Vytinium", "Landscape\resources\Ore\ResourceVyntiniumChunk01.nif", "116", "2.500000"
0x00006657, "NeonBenBayuStatue02", "Benjamin Bayu Figurine", "SetDressing\Neon\NeonBenBayuStatue02.nif", "450", "2.500000"
0x00009A2F, "Landmark_London_Snowglobe_NOCLUTTER", "London Snow Globe", "SetDressing\Landmarks\collectibles\Snowglobe_Landmark_London.nif", "195", "0.500000"
0x00009A31, "Landmark_Opportunity_Snowglobe_NOCLUTTER", "Opportunity Snow Globe", "SetDressing\Landmarks\collectibles\Snowglobe_Landmark_OpportunityRover.nif", "195", "0.500000"
0x00009A34, "Landmark_LosAngeles_Snowglobe_NOCLUTTER", "Los Angeles Snow Globe", "SetDressing\Landmarks\collectibles\Snowglobe_Landmark_LosAngeles.nif", "195", "0.500000"
0x00009A39, "Landmark_Dubai_Snowglobe_NOCLUTTER", "Dubai Snow Globe", "SetDressing\Landmarks\collectibles\Snowglobe_Landmark_Dubia.nif", "195", "0.500000"
0x00009A3F, "Landmark_Cairo_Snowglobe_NOCLUTTER", "Cairo Snow Globe", "SetDressing\Landmarks\collectibles\Snowglobe_Landmark_Cairo.nif", "195", "0.500000"
0x0000A4D3, "OxygenRescueMask01", "Empty Oxygen Booster", "SetDressing\OxygenRescueMask\OxygenRescueMask01.nif", "365", "0.750000"
0x0000AB59, "TissueBox01b_Black", "Tissues", "SetDressing\Bathroom\Tissuebox\TissueBox01b.nif", "8", "0.150000"
0x0000AB5A, "TissueBox01_Black", "Tissues", "SetDressing\Bathroom\Tissuebox\TissueBox01.nif", "8", "0.150000"
0x0000AB5B, "TissueBox01b_Metal", "Tissues", "SetDressing\Bathroom\Tissuebox\TissueBox01b.nif", "8", "0.150000"
0x0000AB5C, "TissueBox01_Metal", "Tissues", "SetDressing\Bathroom\Tissuebox\TissueBox01.nif", "8", "0.150000"
0x0000DEB9, "PottedPlant_Succulent_SM03Metal01", "Succulent", "SetDressing\Office\Deskplants\PottedPlant_Succulent_SM03.nif", "12", "0.250000"
0x0000DEBA, "PottedPlant_Succulent_SM03Black01", "Succulent", "SetDressing\Office\Deskplants\PottedPlant_Succulent_SM03.nif", "12", "0.250000"
0x0000DEBC, "PottedPlant_Succulent_SM02Black01", "Succulent", "SetDressing\Office\Deskplants\PottedPlant_Succulent_SM02.nif", "12", "0.250000"
0x0000DEC1, "PottedPlant_Succulent_SM01Black01Metal01", "Succulent", "SetDressing\Office\Deskplants\PottedPlant_Succulent_SM01.nif", "12", "0.250000"
0x0000DEC2, "PottedPlant_Succulent_SM01Black01", "Succulent", "SetDressing\Office\Deskplants\PottedPlant_Succulent_SM01.nif", "12", "0.250000"
0x0000DEC5, "PottedPlant_Succulent_SM04_Black01", "Succulent", "SetDressing\Office\Deskplants\PottedPlant_Succulent_SM04.nif", "12", "0.250000"
0x0000DEC6, "PottedPlant_Succulent_SM04_Metal01", "Succulent", "SetDressing\Office\Deskplants\PottedPlant_Succulent_SM04.nif", "12", "0.250000"
0x0000FBDB, "Deskfan03", "Portable Desk Fan", "SetDressing\Office\DeskFan\DeskFan03.nif", "140", "1.750000"
0x0001BE5F, "CF06_Microdrive", "Microdrive", "SetDressing\microdrive\microdrive01.nif", "655", "0.000000"
0x00026EA7, "Landmark_HongKong_Snowglobe_NOCLUTTER", "Hong Kong Snow Globe", "SetDressing\Landmarks\collectibles\Snowglobe_Landmark_HongKong.nif", "195", "0.500000"
0x00026EAD, "Landmark_Osaka_Snowglobe_NOCLUTTER", "Osaka Snow Globe", "SetDressing\Landmarks\collectibles\Snowglobe_Landmark_Osaka.nif", "195", "0.500000"
0x00026EB1, "Landmark_Apollo_Snowglobe_NOCLUTTER", "Apollo Snow Globe", "SetDressing\Landmarks\collectibles\Snowglobe_Landmark_ApolloLandingSite.nif", "195", "0.500000"
0x0002775C, "LC017_Nasa_Collectable_Snowglobe02", "Snow Globe", "SetDressing\NASA\Props\Collectables\Nasa_Collectable_Snowglobe02.nif", "195", "0.500000"
0x0002775F, "LC017_Nasa_Collectable_Snowglobe01", "Snow Globe", "SetDressing\NASA\Props\Collectables\Nasa_Collectable_Snowglobe01.nif", "195", "0.500000"
0x000285ED, "LC017_Nasa_Collectable_ToyRocket01", "Toy Rocket", "SetDressing\NASA\Props\Collectables\Nasa_Collectable_ToyRocket01.nif", "195", "0.500000"
0x00028F0C, "Landmark_Cydonia_Snowglobe_NOCLUTTER", "Cydonia Snow Globe", "SetDressing\Landmarks\collectibles\Snowglobe_Landmark_FaceOfCydonia.nif", "195", "0.500000"
0x00028F0D, "Landmark_NewYork_Snowglobe_NOCLUTTER", "New York Snow Globe", "SetDressing\Landmarks\collectibles\Snowglobe_Landmark_NewYork.nif", "195", "0.500000"
0x00028F0E, "Landmark_Shanghai_Snowglobe_NOCLUTTER", "Shanghai Snow Globe", "SetDressing\Landmarks\collectibles\Snowglobe_Landmark_Shanghai.nif", "195", "0.500000"
0x00028F0F, "Landmark_StLouis_Snowglobe_NOCLUTTER", "St. Louis Snow Globe", "SetDressing\Landmarks\collectibles\Snowglobe_Landmark_St.nif", "195", "0.500000"
0x0002C25D, "CameraMercury", "Mercury Camera", "SetDressing\Lodge\MercuryCamera01.nif", "140", "0.750000"
0x000304BF, "Weight_Dumbell01", "Dumbbell", "Items\Dumbell01.nif", "105", "10.000000"
0x000304C0, "Tool_Crimp01", "Crimping Tool", "Items\Tool_Crimp01.nif", "55", "0.300000"
0x000304C3, "FoodPackets_EmptyTray", "Food Tray", "Items\FoodPackets_EmptyTray.nif", "8", "0.100000"
0x000304D7, "MoleculeExtractor01", "Molecule Extractor", "Items\MoleculeExtractor01.nif", "320", "1.600000"
0x000378BF, "Tool_ImpactDriver02", "Impact Driver", "Items\ImpactDriver02.nif", "90", "1.300000"
0x000378C1, "Tool_ImpactDriver03", "Impact Driver", "Items\ImpactDriver03.nif", "90", "1.300000"
0x000378C4, "Tool_ImpactDriver04", "Impact Driver", "Items\ImpactDriver04.nif", "90", "1.300000"
0x000378C6, "Tool_ImpactDriver05", "Impact Driver", "Items\ImpactDriver05.nif", "90", "1.300000"
0x000378C7, "Tool_ImpactDriver01", "Impact Driver", "Items\ImpactDriver01.nif", "90", "1.300000"
0x00037E67, "FFCydoniaZ06_Present", "Logan's Present", "SetDressing\Privatelivingquarters\Decorativeboxes\DecorativeBox05.nif", "140", "0.000000"
0x0003B875, "City_NewAtlantis_Z_AShipmentForSalinas_Box", "Salinas's Package", "SetDressing\Privatelivingquarters\Decorativeboxes\DecorativeBox01.nif", "140", "0.000000"
0x0003ED99, "Bar_MartiniGlass01", "Martini Glass", "SetDressing\Bar_Glassware\Bar_MartiniGlass01.nif", "35", "0.100000"
0x0003ED9B, "Bar_MartiniGlass02", "Cocktail Glass", "SetDressing\Bar_Glassware\Bar_MartiniGlass02.nif", "35", "0.100000"
0x0003ED9D, "Bar_ShotGlass01", "Shot Glass", "SetDressing\Bar_Glassware\Bar_ShotGlass01.nif", "35", "0.100000"
0x0003ED9E, "Bar_DrinkingGlass02", "Cocktail Tumbler", "SetDressing\Bar_Glassware\Bar_DrinkingGlass02.nif", "35", "0.050000"
0x0003ED9F, "Bar_DrinkingGlass01", "Whiskey Glass", "SetDressing\Bar_Glassware\Bar_DrinkingGlass01.nif", "35", "0.050000"
0x0003EDA2, "Bar_WaterGlass01", "Wine Glass", "SetDressing\Bar_Glassware\Bar_WaterGlass01.nif", "35", "0.100000"
0x0003EDA4, "Bar_ShotGlass02", "Stylish Shot Glass", "SetDressing\Bar_Glassware\Bar_ShotGlass02.nif", "35", "0.100000"
0x0003EDA9, "Bar_IceBucket01", "Fancy Ice Bucket", "SetDressing\Bar_Glassware\Bar_IceBucket01.nif", "35", "0.200000"
0x0003EDAB, "Bar_SaltShaker01", "Salt Shaker", "SetDressing\Bar_Glassware\Bar_SaltShaker01.nif", "35", "0.050000"
0x0003EDAC, "Bar_PepperShaker01", "Pepper Shaker", "SetDressing\Bar_Glassware\Bar_PepperShaker01.nif", "35", "0.050000"
0x0003EDB2, "Bar_Decanter02", "Liquor Decanter", "SetDressing\Bar_Glassware\Bar_Decanter02.nif", "55", "0.300000"
0x0003EDB3, "Bar_Decanter01", "Wine Decanter", "SetDressing\Bar_Glassware\Bar_Decanter01.nif", "55", "0.300000"
0x0003EDB6, "Bar_CocktailMixer01", "Sealed Cocktail Mixer", "SetDressing\Bar_Glassware\Bar_CocktailMixer01.nif", "35", "0.100000"
0x0003EDB8, "Dining_Plate01", "Dinner Plate", "SetDressing\Dining_Set\Dining_Plate01.nif", "35", "0.250000"
0x0003EDB9, "Dining_Fork01", "Fine Dining Fork", "SetDressing\Dining_Set\Dining_Fork01.nif", "35", "0.050000"
0x0003EDBA, "Dining_Spoon01", "Spoon", "SetDressing\Dining_Set\Dining_Spoon01.nif", "35", "0.050000"
0x0003EDBD, "Dining_Knife01", "Knife", "SetDressing\Dining_Set\Dining_Knife01.nif", "35", "0.050000"
0x0003EDC8, "CoffeeMug01", "Coffee Mug", "SetDressing\Dining_Set\Dining_CoffeeMug01.nif", "55", "0.250000"
0x0004415D, "Landmark_Pisa_Snowglobe_NOCLUTTER", "Tower of Pisa Snow Globe", "SetDressing\Landmarks\collectibles\Snowglobe_Landmark_Pisa.nif", "195", "0.500000"
0x000445B5, "HopeTech_TrophyPlate01D", "HopeTech Trophy", "SetDressing\HopeTech\HopeTech_TrophyPlate01D.nif", "655", "2.000000"
0x000445B6, "HopeTech_TrophyPlate01C", "HopeTech Trophy", "SetDressing\HopeTech\HopeTech_TrophyPlate01C.nif", "655", "2.000000"
0x000445B7, "HopeTech_TrophyPlate01B", "HopeTech Trophy", "SetDressing\HopeTech\HopeTech_TrophyPlate01B.nif", "655", "2.000000"
0x000445B8, "HopeTech_TrophyPlate01A", "HopeTech Trophy", "SetDressing\HopeTech\HopeTech_TrophyPlate01A.nif", "655", "2.000000"
0x0004883D, "LC017_NASA_NotepadLrg01", "Notepad", "SetDressing\NASA\Props\Notepad\NASA_NotepadLrg01.nif", "3", "0.000000"
0x0004883E, "LC017_NASA_Notebook02", "Nasa Notebook", "SetDressing\InteractiveHavok\IH_NASA_Notebook02.nif", "3", "0.000000"
0x0004883F, "LC017_NASA_Notebook01", "Nasa Notebook", "SetDressing\InteractiveHavok\IH_NASA_Notebook01.nif", "3", "0.000000"
0x00048841, "LC017_NASA_CoffeeMug01", "Nasa Coffee Mug", "SetDressing\NASA\Props\CoffeeMug\NASA_CoffeeMug01.nif", "55", "0.250000"
0x0004A6C7, "OE_KT_HiveMine_Canister_Poison", "Poison Canister", "setdressing\Canister_Poison.nif", "780", "0.350000"
0x0004BA37, "InorgUniqueIndicite", "Indicite", "Landscape\resources\Ore\ResourceIndiciteChunk01.nif", "108", "2.300000"
0x0004F206, "NovaGalacticMug01", "Nova Galactic Coffee Mug", "SetDressing\NovaGalacticMug\novagalacticmug.nif", "55", "0.250000"
0x00050340, "ExoticPlayingCard_Heart_K", "Playing Card - King of Hearts", "SetDressing\Exotic_Clutter\ExoticPlayingCard_Heart_K.nif", "3", "0.010000"
0x00056B8C, "Desktop_TestClutter01", "", "SetDressing\Desktop_Items\Desktop_TestClutter01.nif", "0", "0.000000"
0x0005AF20, "RadiantQuestObject_Test", "Paul's Tools", "Items\Tool_Crimp01.nif", "0", "0.000000"
0x0005B4B5, "Antique_PortableCDPlayer01", "Portable CD Player", "SetDressing\Earth\Artifacts\Portable_CD_Player\Antique_PortableCDPlayer01.nif", "655", "0.650000"
0x0005B4E4, "Antique_Video_Tape01", "Antique Video Tape", "SetDressing\Earth\Artifacts\VHS_Tape\Antique_VHS_Tape01.nif", "655", "0.450000"
0x0005B8FF, "SE_FAB14_StarParcelPackage", "Star Parcel Package", "SetDressing\Privatelivingquarters\Decorativeboxes\DecorativeBox05.nif", "105", "0.000000"
0x0006287E, "TranquiliteaToGoCupEmptyWithLid01", "Tranquilitea "To Go" Cup", "SetDressing\Tranquilitea\TranquiliteaToGoCupFull01.nif", "5", "0.000000"
0x000638A6, "OpiInd_Plate01", "Plate", "Architecture\Outpost\OutpostIndustrial\Interiors\Pod\OpiInd_Plate01.nif", "10", "0.100000"
0x000638A9, "OpiInd_UtensilFork01", "Steel Fork", "Architecture\Outpost\OutpostIndustrial\Interiors\Pod\OpiInd_UtensilFork01.nif", "5", "0.050000"
0x000638AA, "OpiInd_UtensilKnife01", "Knife", "Architecture\Outpost\OutpostIndustrial\Interiors\Pod\OpiInd_UtensilKnife01.nif", "5", "0.050000"
0x000638AB, "OpiInd_UtensilSpoon01", "Spoon", "Architecture\Outpost\OutpostIndustrial\Interiors\Pod\OpiInd_UtensilSpoon01.nif", "5", "0.050000"
0x000642A4, "MissionCargoType01", "Crate of Adaptive Clothing", "setdressing/suppliescrates\supplies_generic01.nif", "1225", "12.000000"
0x000642A5, "MissionCargoType02", "Crate of Medical Treatments", "SetDressing\SuppliesCrates\Supplies_Medical01.nif", "575", "8.000000"
0x000642A6, "MissionCargoType03", "Crate of Anti-Venin", "SetDressing\SuppliesCrates\Supplies_Medical01.nif", "695", "4.000000"
0x000667FF, "CoffeeCup_TB_02", "Stylized TerraBrew Cup", "SetDressing\Terrabrew\CoffeeCup_TB_02.nif", "55", "0.250000"
0x00066800, "CoffeeCup_TB_01", "Stylized TerraBrew Mug", "SetDressing\Terrabrew\CoffeeCup_TB_01.nif", "55", "0.250000"
0x000670FF, "GeneticSampleBottle01", "Genetic Sample Bottle", "Items\GeneticSampleBottle01.nif", "35", "0.100000"
0x0006AADC, "OE_Creature_Egg", "Alien Egg", "landscape/xophile/mineralpool/mineralpooleggs\MineralPoolEgg01Misc.nif", "250", "0.300000"
0x00071454, "City_NewAtlantis_PackageForNyssa01", "Solomon's Art", "SetDressing\Contraband\CB_BlackMarketAntiquities.nif", "655", "2.000000"
0x000777FD, "OrgCommonNutrient", "Nutrient", "SetDressing\Nutrient\Nutrient01.nif", "5", "0.500000"
0x000788D6, "InorgUniqueCaelumite", "Caelumite", "Landscape\Resources\FloraCrystalDeposit\ResourceCrystalPlates02.nif", "264", "0.300000"
0x00080E74, "ChronomarkCase01", "Chronomark Watch Case", "Items\ChronoMark\ChronomarkCase.nif", "160", "0.500000"
0x00085FCF, "UC08_AcelesCellSample_Gamma", "Aceles Gene Sample (Gamma)", "SetDressing\ScienceGlass\ScienceGlass_AceLes_Cellsample.nif", "0", "0.100000"
0x00085FD0, "UC08_AcelesCellSample_Beta", "Aceles Gene Sample (Beta)", "SetDressing\ScienceGlass\ScienceGlass_AceLes_Cellsample.nif", "0", "0.100000"
0x0008691B, "CF04_SirenCard", "Siren of the Stars Access Card", "SetDressing\SirenoftheStars\CF04_SirenCard.nif", "0", "0.000000"
0x00087011, "RQS_CollectColonist_Meat_Player", "Prime Meat", "architecture/city/akila/unique/herbs\ak_meat_dried01.nif", "155", "0.300000"
0x0008753C, "FreeStarDeputyBadge", "FreeStar Deputy Badge", "SetDressing\FreeStarRangeBadge\FreeStarDeputyBadge.nif", "90", "0.050000"
0x0008753D, "FreeStarDeputyBadgeCase_Silver", "Cased FreeStar Deputy Badge", "SetDressing\FreeStarRangeBadge\FreeStarDeputyBadgeCase_Silver.nif", "240", "0.100000"
0x0008753E, "FreeStarRangeBadge_Cinimatic", "FreeStar Ranger Badge", "SetDressing\FreeStarRangeBadge\FreeStarRangeBadge_Cinimatic.nif", "90", "0.050000"
0x0008753F, "FreeStarRangeBadgeCase_Gold", "Cased FreeStar Ranger Badge", "SetDressing\FreeStarRangeBadge\FreeStarRangeBadgeCase_Gold.nif", "240", "0.100000"
0x0008905C, "FFNeonZ05_MedicalSupplies", "Medical Supplies", "setdressing/suppliescrates\supplies_medical01.nif", "0", "0.000000"
0x0008B011, "FFNewAtlantis05_MissionCargoTypeContraband", "Crate of Contraband", "SetDressing\Crates\CrimsonFleetCrates\Crate_CrimsonFleet01.nif", "8190", "12.000000"
0x00091A76, "ExoticPlayingCard_Heart_2", "Playing Card - 2 of Hearts", "SetDressing\Exotic_Clutter\ExoticPlayingCard_Heart_2.nif", "3", "0.010000"
0x00091C9D, "FFNewAtlantis04_WeddingRing", "Engagement Ring", "setdressing/jewelry\ring_two_stone.nif", "655", "0.050000"
0x00092DC4, "ExoticPlayingCard_Heart_3", "Playing Card - 3 of Hearts", "SetDressing\Exotic_Clutter\ExoticPlayingCard_Heart_3.nif", "3", "0.010000"
