FormID, EditorID, Name, Model
0x0000C61B, "_Template_WritingAtDesk", "", "Furniture\Chairs\Tech\ChairTech01.nif"
0x0000CC89, "MQ101_001b_MiningWalkScene_Calvert", "", "Markers\InvisibleGeneric01.nif"
0x0000F667, "NPCSleep_Floor", "", "Markers\InvisibleGeneric01.nif"
0x00010362, "NPCInvChairSit_Tablet", "", "Markers\InvisibleGeneric01.nif"
0x00010828, "NovaJumpSeat01_Table", "Jump Seat", "Ships\Interior\JumpSeat1.nif"
0x00010829, "NovaJumpSeat02_TableBase", "Jump Seat", "Ships\Interior\JumpSeat2.nif"
0x000140D3, "ShipDockingMarker", "", "Ships\rigged\shipdockingbridge\Mesh\shipdockingbridge01.nif"
0x00014B87, "NPCChairTech01_Table", "Chair", "Furniture\Chairs\Tech\ChairTech01.nif"
0x0001511B, "NPCConsoleStanding", "", "Markers\InvisibleGeneric01.nif"
0x00016AC9, "CrowdFurn_AK_Couch01_NoMarkers", "", "furniture/benches\AK_Couch01.nif"
0x00016ACA, "CrowdFurn_AK_Couch02_NoMarkers", "", "Furniture\Benches\AK_Couch02.nif"
0x00016ACB, "CrowdFurn_Couch_MetalFrame_CorIn01_NoMarkers", "", "Furniture\Couches\Couch_MetalFrame\Couch_MetalFrame_CorIn01.nif"
0x00016ACC, "CrowdFurn_Couch_MetalFrame_MidB_01_NoMarkers", "", "Furniture\Couches\Couch_MetalFrame\Couch_MetalFrame_MidB_01.nif"
0x00016ACD, "CrowdFurn_Couch_Sleek_MidB_A01_NoMarkers", "", "Furniture\Couches\Couch_Sleek\Couch_Sleek_MidB_A01.nif"
0x00016ACE, "CrowdFurn_Bench_UtilityE02_NoMarkers", "", "SetDressing\Furniture\Benches\Bench_UtilityE02.nif"
0x00016ACF, "CrowdFurn_Bench_MedicalA05Alt02_NoMarkers", "", "SetDressing\Furniture\MedicalSeating\Bench_MedicalA05Alt02.nif"
0x00016AD0, "CrowdFurn_Bench_MedicalA05Alt01_NoMarkers", "", "SetDressing\Furniture\MedicalSeating\Bench_MedicalA05Alt01.nif"
0x00016AD1, "CrowdFurn_Bench_MedicalA05_NoMarkers", "", "SetDressing\Furniture\MedicalSeating\Bench_MedicalA05.nif"
0x00016AD2, "CrowdFurn_Bench_MedicalA04_NoMarkers", "", "SetDressing\Furniture\MedicalSeating\Bench_MedicalA04.nif"
0x00016AD3, "CrowdFurn_Bench_MedicalA03Alt_NoMarkers", "", "SetDressing\Furniture\MedicalSeating\Bench_MedicalA03Alt.nif"
0x00016AD4, "CrowdFurn_Bench_MedicalA03_NoMarkers", "", "SetDressing\Furniture\MedicalSeating\Bench_MedicalA03.nif"
0x00016AD5, "CrowdFurn_Bench_MedicalA02_NoMarkers", "", "SetDressing\Furniture\MedicalSeating\Bench_MedicalA02.nif"
0x00016AD6, "CrowdFurn_NishinaCouch01_NoMarkers", "", "Furniture\Benches\NishinaCouch01\NishinaCouch01.nif"
0x00016AD7, "CrowdFurn_ShipCouchA_01_NoMarkers", "", "Furniture\shipfurniture\shipcoucha_01.nif"
0x00016AD8, "CrowdFurn_ShipCouchB_01_NoMarkers", "", "Furniture\shipfurniture\shipcouchb_01.nif"
0x00016AD9, "CrowdFurn_ShipCouchB_02_NoMarkers", "", "Furniture\shipfurniture\shipcouchb_01.nif"
0x00016AE4, "NPCInvCrowdCouchSit_Free", "Couch", "Markers\FurnitureMarkers\ChairNeutral_Collision01.nif"
0x00016FDE, "NPCCowerStanding", "Chair", "Markers\InvisibleGeneric01.nif"
0x000180EA, "AmbushFurn_TerrormorphQueen_Underground_FrontExitToStand", "", "Markers\InvisibleGeneric01.nif"
0x0001926F, "NPCInjuredOnGround", "", "Markers\InvisibleGeneric01.nif"
0x00019270, "NPCKneeling", "", "Markers\InvisibleGeneric01.nif"
0x00019271, "NPCWallLeanElbowRight", "", "Markers\InvisibleGeneric01.nif"
0x00019272, "NPCWallLeanElbowLeft", "", "Markers\InvisibleGeneric01.nif"
0x0001A21B, "WorkbenchResearch", "Research Lab", "Furniture\researchworkbench\CharacterAssets\ResearchWorkbench.nif"
0x0001AAA4, "MQ207C_NPCStanding_IgnoredBySandbox", "", "Markers\InvisibleGeneric01.nif"
0x0001D0AB, "_Template_Terminal_MissionBoard01", "Terminal", "SetDressing\Terminals\TerminalActivatorA01\TerminalActivatorA01.nif"
0x00022023, "NPCChairRyujinTall02_Table", "Chair", "SetDressing\Ryujin\RyujinChairTall02.nif"
0x0002296A, "NPCWoundedLean", "", "Markers\InvisibleGeneric01.nif"
0x00022FC4, "AmbushFurn_Octopede_Underground01", "", "Markers\InvisibleGeneric01.nif"
0x000231F1, "AmbushFurn_Octopede_FrontExit01", "", "Markers\InvisibleGeneric01.nif"
0x000249F8, "CrowdFurn_AK_Couch01_SheetCover01_NoMarkers", "", "Furniture\Benches\AK_Couch01_SheetCover01.nif"
0x000249F9, "AK_Couch01_SheetCover01_Furn", "Couch", "Furniture\Benches\AK_Couch01_SheetCover01.nif"
0x00024CB2, "ShpGenIntAddOn_BuiltInBunk_Mattress02_Frontier", "Bed", "Ships\Gen\Interiors\PerimeterSmall\ShpGenIntAddon_BuiltInBunk_Mattress02_Frontier.nif"
0x00025261, "MQ101_039_ArtifactsTogetherScene_WalterFurnitureMarker", "", "Markers\InvisibleGeneric01.nif"
0x00025263, "NASA_MissionControlSwivelChair_Free", "Chair", "SetDressing\NASA\Props\MissionControl\NASA_MissionControlSwivelChair.nif"
0x0002576A, "NPCInvCrowdBenchSit", "Bench", "Markers\FurnitureMarkers\ChairNeutral_Collision01.nif"
0x00025855, "NPCInvCrowdChairSit_Free", "Chair", "Markers\FurnitureMarkers\ChairNeutral_Collision01.nif"
0x00025AD9, "SurgicalBed01_Patient", "", "SetDressing\SurgicalBeds\SurgicalBed01.nif"
0x00025C81, "NPCPushUp", "", "Markers\InvisibleGeneric01.nif"
0x000277F5, "AstroLoungeTableBriefCase01", "", "SetDressing\AstralLounge\AstroLoungeTableBriefCase01.nif"
0x0002C0C1, "NPCLeaningBartopRight", "", "Markers\InvisibleGeneric01.nif"
0x0002C326, "NPCDeskLean", "", "Markers\InvisibleGeneric01.nif"
0x0002C601, "NPCSitLedge", "", "Markers\InvisibleGeneric01.nif"
0x0002DCBD, "AmbushFurn_Octopede_JumpDown01", "", "Markers\InvisibleGeneric01.nif"
0x0002DCBE, "AmbushFurn_Octopede_StandExit01", "", "Markers\InvisibleGeneric01.nif"
0x0002E9D9, "NPCChairLeatherLowback01", "Chair", "Furniture\Sit_ChairLeatherLowback01.nif"
0x0002E9DB, "NPCChairPlastic02_Free", "Chair", "Furniture\Sit_ChairPlastic02.nif"
0x0002EFD0, "NPCInspectDistance", "", "Markers\InvisibleGeneric01.nif"
0x0002EFF2, "NPCStanding_Inventory", "", "Markers\InvisibleGeneric01.nif"
0x0002F41F, "NPCChairTech01_Free", "Chair", "Furniture\Chairs\Tech\ChairTech01.nif"
0x0002F421, "NPCChairTech02_Free", "Chair", "Furniture\Chairs\Tech\ChairTech02.nif"
0x0002F423, "NPCChairTech03_Free", "Chair", "Furniture\Chairs\Tech\ChairTech03.nif"
0x0002F42D, "NPCChairLeather01_FrontEntryOnly", "Chair", "Furniture\Chairs\Leather\ChairLeather01.nif"
0x0002F42F, "NPCCouchLeather01", "Couch", "Furniture\Chairs\Leather\LeatherCouch01.nif"
0x0002F43F, "NPCChairPlastic01_Free", "Chair", "Furniture\Chairs\ChairPlastic01.nif"
0x000307B9, "NPCChairLodgeCarved01", "Chair", "Furniture\Chairs\Lodge\ChairLodgeCarved01.nif"
0x000307BB, "NPCChairLodge_Table", "Chair", "Furniture\Chairs\Lodge\ChairLodgeDesk01.nif"
0x000307BD, "NPCChairLodgeLeather01", "Chair", "Furniture\Chairs\Lodge\ChairLodgeLeather01.nif"
0x000307BF, "NPCChairLodgeOpenArm01", "Chair", "Furniture\Chairs\Lodge\ChairLodgeOpenArm01.nif"
0x000307C1, "NPCChairLodgeReneissance01", "Chair", "Furniture\Chairs\Lodge\ChairLodgeReneissance01.nif"
0x000307C3, "NPCChairLodgeStandard01", "Chair", "Furniture\Chairs\Lodge\ChairLodgeStandard01.nif"
0x000307C5, "NPCCouchLodgeEmpire01", "Fancy Sofa", "Furniture\Chairs\Lodge\CouchLodgeEmpire01.nif"
0x000313E6, "AK_Chair_Wood_01_Table", "Chair", "Furniture/Chairs/Generic/AK_Chair_Wood_01.nif"
0x0003212B, "AK_BarStool01", "Stool", "Furniture\stools\AK_BarStool01.nif"
0x0003263A, "Scenes_TerrormorphTransformation", "", "Markers\InvisibleGeneric01.nif"
0x0003321A, "CreatureCorpseFeed_Flyer", "", "Markers\InvisibleGeneric01.nif"
0x0003607F, "PowerCycle", "", "SetDressing\PowerCyclePanel\PowerCyclePanel01.nif"
0x000361AF, "NPCKneelingPraying", "", "Markers\InvisibleGeneric01.nif"
0x000366DE, "ShpGenIntAddOn_Bed01", "Bed", "Ships\Gen\Interiors\Addon\ShpGenIntAddOn_Bed01.nif"
0x00037F4E, "NPCStanding_AnimFlavorHandsBehindCasual", "", "Markers\InvisibleGeneric01.nif"
0x00039974, "CreatureGrazeFlyer", "", "Markers\InvisibleGeneric01.nif"
0x0003A036, "NPCStanding_AnimFlavorHandsBehindMilitary", "", "Markers\InvisibleGeneric01.nif"
0x0003A05E, "NPCStanding_AnimFlavorArmsCrossedCasual", "", "Markers\InvisibleGeneric01.nif"
0x0003A0CE, "_Template_ShipChair_Console", "Chair", "Furniture\Chairs\Tech\ChairTech02.nif"
0x0003B92D, "SurgicalBed02_NoExitToTalk", "", "SetDressing\SurgicalBeds\SurgicalBed02.nif"
0x0003C420, "NPCStanding_WipeWall", "", "Markers\InvisibleGeneric01.nif"
0x0003E23B, "NPCStanding_MustExitToTalk", "", "Markers\InvisibleGeneric01.nif"
0x0003F0F8, "CharacterGen_Furniture", "", "Architecture\Outpost\OutpostIndustrial\Interiors\Furniture\MedBay01_Anim\OpiIntFurnitureMedicalBed01_Anim.nif"
0x0003F46E, "NPCMining_LaserCutter_High", "", "Markers\InvisibleGeneric01.nif"
0x0003F471, "NPCMining_LaserCutter_Mid", "", "Markers\InvisibleGeneric01.nif"
0x0003F474, "NPCMining_LaserCutter_Low", "", "Markers\InvisibleGeneric01.nif"
0x0003F537, "NPCInspecting_exittotalk", "", "Markers\InvisibleGeneric01.nif"
0x0003FB93, "AmbushFurn_MantaA_ExitToStand", "", "Markers\InvisibleGeneric01.nif"
0x00043509, "NPCKneelSurrender", "", "Markers\InvisibleGeneric01.nif"
0x0004553D, "NPCLeaningBartopLeft", "", "Markers\InvisibleGeneric01.nif"
0x00047707, "NPCSitFloorCaptive_Kneeling", "", "Markers\InvisibleGeneric01.nif"
0x00047867, "WeightBench01", "", "Furniture\WeightBench\CharacterAssets\weightbench.nif"
0x000478E3, "MQ207C_930_SurgicalBed", "", "SetDressing\SurgicalBeds\SurgicalBed02.nif"
0x000481E8, "NPCChairLeather01_Table", "Chair", "Furniture\Chairs\Leather\ChairLeather01.nif"
0x00049C1B, "MQ101_010_GiveWatch_BarrettFurnitureMarker", "", "Markers\InvisibleGeneric01.nif"
0x0004A179, "NA_LobbyU_ChunkInt_Clutter_ChairA_02_Child_DoNotPlace", "", "Architecture\City\NewAtlantis\Lobby\NA_LobbyU_ChunksInt_Clutter_ChairA_01.nif"
0x0004A17B, "_Template_Chair_Free01_Child", "", "Furniture\Chairs\Tech\ChairTech01.nif"
0x0004AC19, "NPCRailLeanHands_ExitToTalk", "", "Markers\InvisibleGeneric01.nif"
0x0004AFE9, "NPCInvCrowdBenchSit_CouchName", "Couch", "Markers\FurnitureMarkers\ChairNeutral_Collision01.nif"
0x0004DEB3, "NPCChairTech03_Console_ExitToTalk", "Chair", "Furniture\Chairs\Tech\ChairTech03.nif"
0x0005151F, "NPCLeaningBartopFront", "", "Markers\InvisibleGeneric01.nif"
0x00054084, "Scenes_MQ101_MinerIsabelleWithHeller", "", "Markers\InvisibleGeneric01.nif"
0x00056D72, "MQ101_039_ArtifactsTogetherScene_SarahFurnitureMarker", "Chair", "Markers\InvisibleGeneric01.nif"
0x00057545, "NPCSitFloorCaptive_WallLean", "", "Markers\InvisibleGeneric01.nif"
0x0005818D, "Scenes_COM_SamCoeQ01_0510_ArrivedOutsideCI_CoraFurnitureMarker", "", "Markers\InvisibleGeneric01.nif"
0x00059F44, "Scenes_MQ101_PlayerWakeUpFurniture3rd", "", "Architecture\Outpost\OutpostIndustrial\Interiors\Furniture\MedBay01_Anim\OpiIntFurnitureMedicalBed01_Anim.nif"
0x0005AEDC, "NPCChairTerraBrewA01_Free", "Chair", "SetDressing\Terrabrew\TB_DineA_Chair01.nif"
0x0005AEDD, "NPCChairTerraBrewB01_Free", "Chair", "SetDressing\Terrabrew\TB_DineB_Chair01.nif"
0x0005B0A6, "NPCInvChairSit_Free", "", "Markers\InvisibleGeneric01.nif"
0x0005B14D, "MQ101_010_BarrettScene_BarrettFurnitureMarker", "", "Markers\InvisibleGeneric01.nif"
0x0005B622, "NPCChairTerraBrewB02_Free", "Chair", "SetDressing\Terrabrew\TB_DineB_Chair02.nif"
0x0005BC23, "NPCStanding_LookingAtNav", "", "Markers\InvisibleGeneric01.nif"
0x0005D26D, "AK_Chair_Wood_01_TableEatDrink", "Chair", "Furniture/Chairs/Generic/AK_Chair_Wood_01.nif"
0x0005D26E, "NPCChairOfficeMod02_Desk", "Chair", "Furniture\Chairs\Modern\ChairOfficeMod02.nif"
0x0005D272, "NPCChairOfficeMod01_Desk", "Chair", "Furniture\Chairs\Modern\ChairOfficeMod01.nif"
0x0005D273, "NA_LobbyU_ChunskInt_Clutter_ChairA_01_NoDesk", "Chair", "Architecture\City\NewAtlantis\Lobby\NA_LobbyU_ChunksInt_Clutter_ChairA_01.nif"
0x0005D274, "ChairUtilityE01_DeskEatDrink_Xtra", "Chair", "SetDressing\Furniture\Chairs\ChairUtilityE01.nif"
0x0005D27B, "NPCChairNALobbyOffice01_NoDesk", "Chair", "Architecture\City\NewAtlantis\Lobby\NA_LobbyOffice_Chair_01.nif"
0x0005D27C, "NPCChairOfficeMod03_Desk", "Chair", "Furniture\Chairs\Modern\ChairOfficeMod03.nif"
0x0005D27D, "NA_LobbyU_ChunskInt_Clutter_ChairA_01_DeskEatDrink", "Chair", "Architecture\City\NewAtlantis\Lobby\NA_LobbyU_ChunksInt_Clutter_ChairA_01.nif"
0x0005D27E, "NPCChairTerraBrewA01_DeskEatDrink", "Chair", "SetDressing\Terrabrew\TB_DineA_Chair01.nif"
0x0005DC38, "NovaJumpSeat02_Free", "Jump Seat", "Ships\Interior\JumpSeat2.nif"
0x0005DC9A, "NovaJumpSeat01_Free", "Jump Seat", "Ships\Interior\JumpSeat1.nif"
0x0005E6C2, "AK_Chair_Office_01_Table", "Chair", "Furniture\Chairs\Generic\AK_Chair_Office_01.nif"
0x0005F9EC, "BenchNACourtyardUnique01", "", "Furniture\Benches\BenchNACourtyardUnique01.nif"
0x000603CB, "NPCInvCrowdChairSit_TableEatDrink_NoRight", "Chair", "Markers\FurnitureMarkers\ChairNeutral_Collision01.nif"
0x00060412, "NPCInvCrowdChairSit_TableEatDrink_NoLeft", "Chair", "Markers\FurnitureMarkers\ChairNeutral_Collision01.nif"
0x00061EEA, "NPCChairTerraBrewA01_Desk", "Chair", "SetDressing\Terrabrew\TB_DineA_Chair01.nif"
0x00061EEB, "NPCChairTerraBrewA02_Desk", "Chair", "SetDressing\Terrabrew\TB_DineA_Chair02.nif"
0x00061EEC, "NPCChairTerraBrewA02_DeskEatDrink", "Chair", "SetDressing\Terrabrew\TB_DineA_Chair02.nif"
0x00061F91, "Player_ShipLadder", "PlayerLadder", "Markers\FurnitureMarkers\Player_LadderActivate.nif"
0x00063177, "MQ202_006_PetrovEscortScene_CaptainPetrov", "", "Markers\InvisibleGeneric01.nif"
0x000637A5, "AstraLoungeArtifact", "Lounge Artifact", "Furniture\astralloungeartifact\CharacterAssets\AstralLoungeArtifact.nif"
0x000641B8, "NABenchAStr2x1_02", "Bench", "Architecture\City\NewAtlantis\StreetClutter\NABenchAStr2x1_02.nif"
0x000641F5, "NABenchAStr2x1_01", "Bench", "Architecture\City\NewAtlantis\StreetClutter\NABenchAStr2x1_01.nif"
0x000641F6, "NABenchAStr1x1_02", "Bench", "Architecture\City\NewAtlantis\StreetClutter\NABenchAStr1x1_02.nif"
0x000641F7, "NABenchAStr1x1_01", "Bench", "Architecture\City\NewAtlantis\StreetClutter\NABenchAStr1x1_01.nif"
0x000641F8, "NABenchAShiftLeft02", "Bench", "Architecture\City\NewAtlantis\StreetClutter\NABenchAShiftLeft02.nif"
0x000641F9, "NABenchAShiftLeft01", "Bench", "Architecture\City\NewAtlantis\StreetClutter\NABenchAShiftLeft01.nif"
0x000641FA, "NABenchAShift02", "Bench", "Architecture\City\NewAtlantis\StreetClutter\NABenchAShift02.nif"
0x000641FB, "NABenchAShift01", "Bench", "Architecture\City\NewAtlantis\StreetClutter\NABenchAShift01.nif"
0x000641FC, "NABenchACurve02", "Bench", "Architecture\City\NewAtlantis\StreetClutter\NABenchACurve02.nif"
0x000641FD, "NABenchACurve01", "Bench", "Architecture\City\NewAtlantis\StreetClutter\NABenchACurve01.nif"
0x000641FE, "NABenchAAngle45ALeft02", "Bench", "Architecture\City\NewAtlantis\StreetClutter\NABenchAAngle45ALeft02.nif"
0x000641FF, "NABenchAAngle45ALeft01", "Bench", "Architecture\City\NewAtlantis\StreetClutter\NABenchAAngle45ALeft01.nif"
0x00064200, "NABenchAAngle45A02", "Bench", "Architecture\City\NewAtlantis\StreetClutter\NABenchAAngle45A02.nif"
0x00064201, "NABenchAAngle45A01", "Bench", "Architecture\City\NewAtlantis\StreetClutter\NABenchAAngle45A01.nif"
0x000642EE, "BenchNACourtyardUnique02", "", "Furniture\Benches\BenchNACourtyardUnique02.nif"
0x000642EF, "BenchNACourtyardUnique04", "", "Furniture\Benches\BenchNACourtyardUnique04.nif"
0x000642F0, "BenchNACourtyardUnique03", "", "Furniture\Benches\BenchNACourtyardUnique03.nif"
0x00064914, "NeonFurnitureBarstool01_AtBar", "Stool", "SetDressing\Neon\NeonFurnitureBarstool01.nif"
0x0006809C, "NPCLeaningBartopBack", "", "Markers\InvisibleGeneric01.nif"
0x00068E84, "NPCChairTerraBrewA02_Free", "Chair", "SetDressing\Terrabrew\TB_DineA_Chair02.nif"
0x0006908E, "NPCCouchNALobbyOffice01", "Bench", "Architecture\City\NewAtlantis\Lobby\NA_LobbyOffice_Couch_01.nif"
0x00069090, "NPCCouchNALobbyOffice01b", "Bench", "Architecture\City\NewAtlantis\Lobby\NA_LobbyOffice_Couch_01.nif"
0x00069171, "_Template_Chair_NoDesk01", "Chair", "Furniture\Chairs\Tech\ChairTech01.nif"
0x00069172, "_Template_Chair_NoDesk01_AllowAnimObjects", "Chair", "Furniture\Chairs\ChairPlastic01.nif"
0x00069173, "_Template_Chair_NoDesk01_Child", "", "Furniture\Chairs\Tech\ChairTech01.nif"
0x00069174, "_Template_Chair_NoDesk01_Xtra", "Chair", "Furniture\Chairs\Tech\ChairTech01.nif"
0x00069175, "_Template_Chair_NoDesk_Reversed", "Chair", "Furniture\Chairs\Tech\ChairTech01.nif"
0x00069176, "AK_Chair_Canvas_01_NoDesk", "Chair", "Furniture\Chairs\Generic\AK_Chair_Canvas_01.nif"
0x00069177, "AK_Chair_Office_01_NoDesk", "Chair", "Furniture\Chairs\Generic\AK_Chair_Office_01.nif"
0x00069178, "AK_Chair_Wood_01_NoDesk", "Chair", "Furniture/Chairs/Generic/AK_Chair_Wood_01.nif"
0x00069179, "AK_Chair_WoodStool_01_NoDesk", "Stool", "SetDressing\Furniture\Akila_Side_Table\Akila_Side_Table.nif"
0x0006917A, "Chair_AK_StoolShort_01_NoDesk", "Stool", "Furniture/Stools/AK_Stool_Short_01.nif"
0x0006917D, "Chair_Generic01_NoDesk", "Chair", "Furniture\Chairs\ChairPlastic01.nif"
0x0006917E, "ChairUtilityB01_NoDesk", "Chair", "SetDressing\Furniture\Chairs\ChairUtilityB01.nif"
0x0006917F, "ChairUtilityC01_NoDesk", "Chair", "SetDressing\Furniture\Chairs\ChairUtilityC01.nif"
0x00069180, "ChairUtilityE01_NoDesk", "Chair", "SetDressing\Furniture\Chairs\ChairUtilityE01.nif"
0x00069181, "ChairUtilityF01_NoDesk", "Chair", "SetDressing\Furniture\Chairs\ChairUtilityF01.nif"
0x00069184, "FoundCanvasChair01_NoDesk", "Chair", "SetDressing\Found\FoundCanvasChair01.nif"
0x0006918A, "NASA_MissionControlSwivelChair_NoDesk", "Chair", "SetDressing\NASA\Props\MissionControl\NASA_MissionControlSwivelChair.nif"
0x0006918C, "NeonFurnitureChair01_NoDesk", "Chair", "SetDressing\Neon\NeonFurnitureChair01.nif"
0x0006918D, "NeonFurnitureChair02_NoDesk", "Chair", "SetDressing\Neon\NeonFurnitureChair02.nif"
0x0006918E, "NPCChair_Generic01_Slouched_NoDesk", "Chair", "Furniture\Chairs\ChairPlastic01.nif"
0x0006918F, "NPCChair_Generic02_NoDesk", "Chair", "Furniture\Chairs\ChairPlastic01.nif"
0x00069191, "NPCChairOfficeMod01_NoDesk", "Chair", "Furniture\Chairs\Modern\ChairOfficeMod01.nif"
0x00069192, "NPCChairOfficeMod02_NoDesk", "Chair", "Furniture\Chairs\Modern\ChairOfficeMod02.nif"
0x00069193, "NPCChairOfficeMod03_NoDesk", "Chair", "Furniture\Chairs\Modern\ChairOfficeMod03.nif"
0x00069194, "NPCChairOfficeMod04_NoDesk", "Chair", "Furniture\Chairs\Modern\ChairOfficeMod04.nif"
0x00069195, "NPCChairOfficeMod05_NoDesk", "Chair", "Furniture\Chairs\Modern\ChairOfficeMod05.nif"
0x00069196, "NPCChairOfficeMod06_NoDesk", "Chair", "Furniture\Chairs\Modern\ChairOfficeMod06.nif"
0x00069197, "NPCChairOfficeMod07_NoDesk", "Chair", "Furniture\Chairs\Modern\ChairOfficeMod07.nif"
0x00069198, "NPCChairOfficeMod08_NoDesk", "Chair", "Furniture\Chairs\Modern\ChairOfficeMod08.nif"
0x00069199, "NPCChairPlastic01_NoDesk", "Chair", "Furniture\Chairs\ChairPlastic01.nif"
0x0006919A, "NPCChairPlastic02_NoDesk", "Chair", "Furniture\Sit_ChairPlastic02.nif"
0x0006919B, "NPCChairTerraBrewA01_NoDesk", "Chair", "SetDressing\Terrabrew\TB_DineA_Chair01.nif"
0x0006919C, "NPCChairTerraBrewA02_NoDesk", "Chair", "SetDressing\Terrabrew\TB_DineA_Chair02.nif"
0x0006919D, "NPCChairTerraBrewB01_NoDesk", "Chair", "SetDressing\Terrabrew\TB_DineB_Chair01.nif"
0x0006919E, "NPCChairTerraBrewB02_NoDesk", "Chair", "SetDressing\Terrabrew\TB_DineB_Chair02.nif"
0x0006919F, "NPCInvChairSit_NoDesk", "", "Markers\InvisibleGeneric01.nif"
0x000691A0, "NPCInvCrowdChairSit_NoDesk", "Chair", "Markers\FurnitureMarkers\ChairNeutral_Collision01.nif"
