FormID, EditorID, Name, Race, Acbs1, Acbs2, Acbs3, Acbs4, Factions
0x00004118, "EITStore_DisplayMannequin_Female01", "", "Mannequin", "0xE0110043", "0x00010000", "0x00000000", "0x12BE0023", ""
0x0000411A, "EITStore_DisplayMannequin_Female02", "", "Mannequin", "0xE0110043", "0x00010000", "0x00000000", "0x12BE0023", ""
0x00004858, "ChargenFemalePlayer_Swap", "", "Human", "0x00000000", "0x00010000", "0x00000000", "0x00000023", ""
0x00004859, "ChargenPresetFemale02_Swap", "", "Human", "0x00000000", "0x00010000", "0x00000000", "0x00000023", ""
0x00004968, "MQ101_LvlCrimsonFleet_Assault", "", "Human", "0x00000009", "0x00020005", "0x00000000", "0x5EEF0023", ""
0x00004989, "MQ101_LvlCrimsonFleet_Charger", "", "Human", "0x00000009", "0x00020005", "0x00000000", "0x1EEF0023", ""
0x00004A43, "LvlCrimsonFleet_Boss_Male", "", "Human", "0x00000008", "0x00020005", "0x00000000", "0x7DFF0023", ""
0x00004A44, "LvlCrimsonFleet_Boss_Female", "", "Human", "0x00000009", "0x00020005", "0x00000000", "0x7DFF0023", ""
0x00004A45, "LvlCrimsonFleet_Boss_Female_Aggro", "", "Human", "0x00000009", "0x00020005", "0x00000000", "0x5DEF0023", ""
0x00004A46, "LvlCrimsonFleet_Boss_Male_Aggro", "", "Human", "0x00000008", "0x00020005", "0x00000000", "0x5DEF0023", ""
0x00004D62, "VoiceOnly_NewAtlantisHyperloop_NoAppearanceData", "Hyperloop", "Human", "0x00000021", "0x00010000", "0x00000000", "0x00000023", ""
0x00004ED6, "LC165_LvlRobotModelA_Starborn_Combat", "", "ModelARace", "0x00000108", "0x0006000F", "0x00000000", "0x5FBB0023", "LC165StarbornEnemyFaction"
0x00005638, "Crew_Elite_Lin", "Supervisor Lin", "Human", "0x400000F3", "0x03E80000", "0x0000000A", "0x00020023", "CrewElite_PersonalCrimeFaction_Lin, MQ101LinHellerGroupFaction(1), MQ101MinerFaction, PlayerAllyFaction"
0x0000563A, "Crew_Elite_Heller", "Heller", "Human", "0x400000F2", "0x03E80000", "0x0000000A", "0x00020023", "AvailableCrewFaction(255), CrewElite_PersonalCrimeFaction_Heller, CurrentCrewFaction(255), MQ101LinHellerGroupFaction(2), MQ101MinerFaction, PlayerAllyFaction, PotentialCrewFaction(255)"
0x0000565F, "MS03_EclipticShip_AutopilotAI", "", "AutopilotRace", "0x00000000", "0x000C000A", "0x00000000", "0x00000023", "EclipticFaction"
0x00005787, "Companion_Barrett", "Barrett", "Human", "0x400000B2", "0x03E80000", "0x0000000A", "0x40020023", "AvailableCompanionFaction(255), COM_PersonalCrimeFaction_Barret, ConstellationFaction, CurrentCompanionFaction(255), LodgeInvisibleDoorsFaction, MQ101MinerFaction, PlayerAllyFaction"
0x000057BB, "Crew_Elite_Vasco", "Vasco", "ModelARace", "0x400000F2", "0x03E80000", "0x0000000A", "0x00020023", "AvailableCrewFaction(255), ConstellationFaction, CurrentCrewFaction(255), LodgeInvisibleDoorsFaction, MQ101MinerFaction, PlayerAllyFaction, PotentialCrewFaction(255)"
0x00005983, "Companion_SarahMorgan", "Sarah Morgan", "Human", "0x400000B3", "0x03E80000", "0x0000000A", "0x40020023", "AvailableCompanionFaction(255), COM_PersonalCrimeFaction_SarahMorgan, ConstellationFaction, CurrentCompanionFaction(255), LodgeInvisibleDoorsFaction, PlayerAllyFaction"
0x0000598C, "Constellation_Noel", "Noel", "Human", "0x40000033", "0x00060000", "0x00000000", "0x00000023", "ConstellationFaction, LodgeInvisibleDoorsFaction, MQ204RunningGroupFaction(1), PlayerAllyFaction, Vendor_Lodge_NoelFaction"
0x00005996, "Constellation_WalterStroud", "Walter Stroud", "Human", "0x40000062", "0x00020005", "0x00000000", "0x40020023", "ConstellationFaction, PlayerAllyFaction, MQ105_IssaWalterFaction"
0x00005999, "Companion_SamCoe", "Sam Coe", "Human", "0x400000B2", "0x03E80000", "0x0000000A", "0x40020023", "AvailableCompanionFaction(255), CoeEstateDoorFaction, COM_PersonalCrimeFaction_SamCoe, ConstellationFaction, CurrentCompanionFaction(255), LodgeInvisibleDoorsFaction, PlayerAllyFaction"
0x0000599F, "Constellation_MatteoKhatri", "Matteo Khatri", "Human", "0x40000032", "0x00060000", "0x00000000", "0x00000023", "AvailableCompanionFaction(255), ConstellationFaction, LodgeInvisibleDoorsFaction, PlayerAllyFaction"
0x000059A7, "Companion_Andreja", "Andreja", "Human", "0x400000B3", "0x03E80000", "0x0000000A", "0x40020023", "AvailableCompanionFaction(255), COM_PersonalCrimeFaction_Andreja, ConstellationFaction, CurrentCompanionFaction(255), LodgeInvisibleDoorsFaction, PlayerAllyFaction"
0x000059AA, "Constellation_VladimirSall", "Vladimir Sall", "Human", "0x40000032", "0x00060000", "0x00000000", "0x00000023", "ConstellationFaction, LodgeInvisibleDoorsFaction, PlayerAllyFaction, Vendor_Lodge_VladFaction"
0x00005F00, "LvlEcliptic_Boss_Aggro", "", "Human", "0x00000009", "0x0005000A", "0x00000000", "0x5CBF0023", ""
0x000061FE, "LvlTurretShort_Ecliptic", "", "LaserTurretRace", "0x00000048", "0x0006000A", "0x00000000", "0x7FFF0023", ""
0x000061FF, "LvlTurretTall_Ecliptic", "", "LaserTurretRace", "0x00000048", "0x0006000A", "0x00000000", "0x7FFF0023", ""
0x000065E2, "PCM_Kumasi_Kumasi-I_Critter01", "", "CCT_DummyRace", "0x00000000", "0x00010005", "0x00000000", "0x7F7E0023", ""
0x000065E6, "PCM_Kumasi_Kumasi-I_Critter_02_Flyer", "", "CCT_DummyRace", "0x00000000", "0x00010005", "0x00000000", "0x7F7E0023", ""
0x00006979, "UC_NA_CL_TolimanScene_VanguardPilot", "Vanguard Captain", "Human", "0x00000030", "0x00050000", "0x00000000", "0x6E190023", "CrimeFactionUC, NewAtlantisFaction"
0x0000697A, "UC_NA_CL_TolimanScene_Friend", "Citizen", "Human", "0x00000020", "0x00010000", "0x00000000", "0x6E1B0023", "CrimeFactionUC, GagarinFaction"
0x00006E04, "OE_AustinF_CECSuperfan_LvlSettler", "", "Human", "0x00000009", "0x000C0014", "0x00000000", "0x3EAF0023", ""
0x00006FA1, "Combat_A_Generic_Achilles02_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x00140050", "0x00000000", "0x04BD0023", ""
0x00006FA3, "Combat_A_Generic_Achilles03_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x00260096", "0x00000000", "0x04BD0023", ""
0x00006FA8, "Combat_A_Generic_Raptor02_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x001E0078", "0x00000000", "0x04BD0023", ""
0x00006FAA, "Combat_A_Generic_Raptor03_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x002E00B4", "0x00000000", "0x04BD0023", ""
0x00006FB4, "Combat_B_Generic_Pterosaur02_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x00160078", "0x00000000", "0x44BD0023", ""
0x00006FBE, "Combat_B_Generic_Pterosaur03_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x002800D2", "0x00000000", "0x04BD0023", ""
0x00006FC2, "Combat_B_Generic_Starhawk02_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x00380122", "0x00000000", "0x04BD0023", ""
0x00006FCD, "xDoNotUse_Combat_B_Generic_Starhawk03_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x00580000", "0x00000000", "0x04BD0023", ""
0x00006FCF, "Combat_B_Generic_Warhammer02_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x002000AA", "0x00000000", "0x04BD0023", ""
0x00006FE2, "CF05_Pilot", "Pilot", "Human", "0x40000002", "0x00010000", "0x00000000", "0x3E2B0023", "CrimeFactionCrimsonFleet"
0x0000707A, "Combat_B_Generic_Warhammer03_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x00420154", "0x00000000", "0x04BD0023", ""
0x00007486, "SE_KT11_Destroyer_B_Deimos_Nebula01_Derelict_Custom_AutopilotAI", "", "AutopilotRace", "0x00000000", "0x001C0028", "0x00000000", "0x00000023", ""
0x00007DE9, "MQ102MoaraShip_Custom_AutopilotAI", "", "AutopilotRace", "0x00000000", "0x000A0028", "0x00000000", "0x00000023", ""
0x000080AC, "CCT_Template_Keyword_Infection_Bone", "", "OctopedeARace", "0x00000000", "0x00010000", "0x00000000", "0x00000023", ""
0x000080AD, "CCT_Template_Keyword_Infection_Brain", "", "OctopedeARace", "0x00000000", "0x00010000", "0x00000000", "0x00000023", ""
0x000080AE, "CCT_Template_Keyword_Infection_Intestinal", "", "OctopedeARace", "0x00000000", "0x00010000", "0x00000000", "0x00000023", ""
0x000080AF, "CCT_Template_Keyword_Infection_Lung", "", "OctopedeARace", "0x00000000", "0x00010000", "0x00000000", "0x00000023", ""
0x000080B0, "CCT_Template_Keyword_Infection_Tissue", "", "OctopedeARace", "0x00000000", "0x00010000", "0x00000000", "0x00000023", ""
0x0000822A, "General_B_Deimos_Celestial02_Template_AutopilotAI", "", "AutopilotRace", "0x00000000", "0x003C00B9", "0x00000000", "0x04BD0023", ""
0x00008463, "TemplateScene_Bartender_NoAppearanceData", "Bartender", "Human", "0x00000030", "0x00060000", "0x00000000", "0x00000023", ""
0x00008464, "TemplateScene_Reese_NoAppearanceData", "Reese", "Human", "0x00000030", "0x00060000", "0x00000000", "0x00000023", ""
0x00008465, "TemplateScene_Pierce_NoAppearanceData", "Pierce", "Human", "0x00000030", "0x00060000", "0x00000000", "0x00000023", ""
0x00008780, "Destroyer_B_Nova_Zumwalt01_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x0014006E", "0x00000000", "0x04BD0023", ""
0x0000885B, "xDoNotUse_Cruiser_C_Hopetech_StarSemi02_Template_AutopilotAI", "", "AutopilotRace", "0x00000000", "0x00480078", "0x00000000", "0x04BD0023", ""
0x000090B1, "SM016_StroudEklundStaryard_AutopilotAI", "Pilot", "AutopilotRace", "0x80000011", "0x00320000", "0x00000000", "0x00000023", ""
0x000090B4, "SM015_DeimosStaryard_AutopilotAI", "Pilot", "AutopilotRace", "0x80000011", "0x00320000", "0x00000000", "0x00000023", ""
0x000090B9, "SM018_TridentLuxuryStaryard_AutopilotAI", "Pilot", "AutopilotRace", "0x80000011", "0x00320000", "0x00000000", "0x00000023", ""
0x000090F8, "LvlShip_DefenseBattery_CF_AutopilotAI", "", "AutopilotRace", "0x40000000", "0x003200C3", "0x00000000", "0x44BB0023", "CrimeFactionCrimsonFleet"
0x000090FA, "LC088_LvlShip_DefenseBattery_Alpha_AutopilotAI", "", "AutopilotRace", "0x40000000", "0x003200C3", "0x00000000", "0x443F0023", ""
0x00009137, "CF_KibweIkande", "Commander Kibwe Ikande", "Human", "0x00000032", "0x00050000", "0x00000000", "0x40020023", "UCSysDefFaction, CrimeFactionUCSysDef"
0x00009138, "CF_NaevaMora", "Naeva Mora", "Human", "0x20000023", "0x00020005", "0x00000000", "0x4C0A0023", "CrimeFactionCrimsonFleet"
0x00009139, "CF_KibweGuard01", "SysDef Guard", "Human", "0x00000030", "0x00050000", "0x00000000", "0x78170023", ""
0x0000913A, "CF_KibweGuard02", "SysDef Guard", "Human", "0x00000030", "0x00050000", "0x00000000", "0x78170023", ""
0x0000961A, "LC028_MinerM02", "Miner", "Human", "0x00000008", "0x00010000", "0x00000000", "0x4C3B0023", "CrimeFactionUC, CydoniaFaction, CydoniaMinerFaction, UC03_DeepMinesMinerFaction"
0x00009CDA, "LvlMarine_SysDef_Pilot", "", "Human", "0x00000019", "0x00050000", "0x00000000", "0x7EBF0023", ""
0x00009CDB, "LvlMarine_SysDef_Officer_Male", "", "Human", "0x00000018", "0x00050000", "0x00000000", "0x3EAF0023", ""
0x00009CED, "EncCrimsonFleet03", "Pirate Freebooter", "Human", "0x00000008", "0x000A0014", "0x00000000", "0x3F3D0023", ""
0x00009CEE, "EncCrimsonFleet05", "Pirate Marauder", "Human", "0x00000008", "0x00180028", "0x00000000", "0x7F3D0023", ""
0x00009CEF, "EncCrimsonFleet04", "Pirate Rover", "Human", "0x00000008", "0x00100019", "0x00000000", "0x7F3D0023", ""
0x00009FF8, "UC_NA_GerhardPohl", "Gerhard Pohl", "Human", "0x00000022", "0x00010000", "0x00000000", "0x6C120023", "CrimeFactionUC, NewAtlantis_JemisonMercFaction, NewAtlantisFaction"
0x00009FFB, "UC_NA_AmoliBava", "Amoli Bava", "Human", "0x00000023", "0x00010000", "0x00000000", "0x6C120023", "CrimeFactionUC, NewAtlantis_JemisonMercFaction, NewAtlantisFaction, Vendor_City_NA_JemisonMercantileFaction"
0x0000A1A8, "LC043_LvlMarine_SY920_Heavy_Male", "", "Human", "0x00000000", "0x0005000A", "0x00000000", "0x7FBF0023", ""
0x0000A49D, "FC_AC_LaredoEmployee_Male_01", "Laredo Employee", "Human", "0x00000008", "0x00010005", "0x00000000", "0x7E1B0023", "CrimeFactionFreestar"
0x0000AAF7, "SecurityCamera_Template01", "Security Camera", "SecurityCameraRace", "0x40000008", "0x00060000", "0x00000000", "0x00000023", "SecurityCameraFaction"
0x0000B258, "CF05_LvlShip_LC043_PrototypeShip_AutopilotAI", "Pilot", "AutopilotRace", "0x00000011", "0x00100041", "0x00000000", "0x00000023", ""
0x0000B289, "LvlShip_HumanHostile_Small_DropshipOnly_AutopilotAI", "", "AutopilotRace", "0x00000000", "0x0002000F", "0x00000000", "0x00000023", ""
0x0000BD3A, "EAW_AudioSlateChar01_Jackie_NoAppearanceData", "Jackie", "Human", "0x00000000", "0x00010000", "0x00000000", "0x00000023", ""
0x0000BD3B, "EAW_AudioSlateChar01_Lydia_NoAppearanceData", "Lydia", "Human", "0x00000000", "0x00010000", "0x00000000", "0x00000023", ""
0x0000C354, "Cruiser_C_Stroud_Vindicator02_Template_AutopilotAI", "", "AutopilotRace", "0x00000000", "0x002C0159", "0x00000000", "0x04BD0023", ""
0x0000C356, "Cruiser_C_Stroud_Vindicator03_Template_AutopilotAI", "", "AutopilotRace", "0x00000000", "0x003E01E0", "0x00000000", "0x04BD0023", ""
0x0000CC8D, "LvlShip_HumanHostile_Medium_DropshipOnly_AutopilotAI", "", "AutopilotRace", "0x00000000", "0x0002000F", "0x00000000", "0x00000023", ""
0x0000CC8F, "LvlShip_HumanHostile_Large_DropshipOnly_AutopilotAI", "", "AutopilotRace", "0x00000000", "0x0002000F", "0x00000000", "0x00000023", ""
0x0000CF7F, "OE_LvlShip_Syndicate_Medium_Mixed_AutopilotAI", "", "AutopilotRace", "0x00000000", "0x00140050", "0x00000000", "0x00000023", "SyndicateFaction"
0x0000CF81, "OE_LvlShip_Syndicate_Small_Mixed_AutopilotAI", "", "AutopilotRace", "0x00000000", "0x0006001E", "0x00000000", "0x00000023", "SyndicateFaction"
0x0000CF96, "LvlCitizen_NoOld", "", "Human", "0x00000009", "0x00010000", "0x00000000", "0x7FBF0023", ""
0x0000CF98, "LvlLISTColonist_NoOld", "Homesteader", "Human", "0x00000001", "0x00010000", "0x00000000", "0x1E0B0023", "CrimeFactionLIST, LISTColonistFaction, LISTColonistGenericHumanDialogueFaction"
0x0000D653, "COM_CoraCoe", "Cora Coe", "Human", "0x400000B3", "0x03E80000", "0x0000000A", "0x00020023", "ConstellationFaction, LodgeInvisibleDoorsFaction, PlayerAllyFaction, CoeEstateDoorFaction"
0x0000DB3A, "EncRobotModelA01_CrimsonFleet", "Crimson Fleet Robot Model A", "ModelARace", "0x00000108", "0x0006000F", "0x00000000", "0x2E3E0023", ""
0x0000DB3B, "EncRobotModelA02_CrimsonFleet", "", "ModelARace", "0x00000108", "0x000C0019", "0x00000000", "0x7FFF0023", ""
0x0000DCA7, "CF08_TheKey_StationAnnouncer_AUDIOONLY_NoAppearanceData", "", "Human", "0x00000001", "0x00010000", "0x00000000", "0x00800023", ""
0x0000DF88, "EncSecurityFaceF03_Neon", "", "Human", "0x00000001", "0x00050005", "0x00000000", "0x00000023", ""
0x0000E112, "EncSecurityFaceF04_Neon", "", "Human", "0x00000001", "0x00050005", "0x00000000", "0x00000023", ""
0x0000E3B2, "LC092_Loot_Corpse", "Sonny Di Falco", "Human Corpse", "0x02000000", "0x00010000", "0x00000000", "0x00000023", "CrimeFactionFreestar, FC_CodysHillFaction, FC_CodysHillGenericDialogueFaction"
0x0000E407, "TemplateSceneAlt_Actor02_NoAppearanceData", "Reese", "Human", "0x00000030", "0x00060000", "0x00000000", "0x00000023", ""
0x0000E408, "TemplateSceneAlt_Actor01_NoAppearanceData", "Bartender", "Human", "0x00000030", "0x00060000", "0x00000000", "0x00000023", ""
0x0000E409, "TemplateSceneAlt_Actor03_NoAppearanceData", "Pierce", "Human", "0x00000030", "0x00060000", "0x00000000", "0x00000023", ""
0x0000E40A, "TemplateSceneAlt_Player_NoAppearanceData", "NOT Player", "Human", "0x00000030", "0x00060000", "0x00000000", "0x00000023", ""
0x0000E57E, "EncSecurityFaceF05_Neon", "", "Human", "0x00000001", "0x00050005", "0x00000000", "0x00000023", ""
0x0000E941, "EncRobotModelA03_CrimsonFleet", "", "ModelARace", "0x00000108", "0x00140023", "0x00000000", "0x7FFF0023", ""
0x0000E942, "EncRobotModelA04_CrimsonFleet", "", "ModelARace", "0x00000108", "0x001C0032", "0x00000000", "0x7FFE0023", ""
0x0000EB5A, "EncSecurityFaceF06_Neon", "", "Human", "0x00000001", "0x00050005", "0x00000000", "0x00000023", ""
0x0000EB5B, "EncSecurityFaceF03_UC", "", "Human", "0x00000001", "0x00050005", "0x00000000", "0x00000023", ""
0x0000EB5C, "EncSecurityFaceF04_UC", "", "Human", "0x00000001", "0x00050005", "0x00000000", "0x00000023", ""
0x0000EB5D, "EncSecurityFaceF05_UC", "", "Human", "0x00000001", "0x00050005", "0x00000000", "0x00000023", ""
0x0000F469, "xDoNotUse_LvlShip_Civilian_A_Cargo_AutopilotAI", "", "AutopilotRace", "0x00000000", "0x00060000", "0x00000000", "0x44BE0023", ""
0x0000FCCE, "EncSecurityFaceF06_UC", "", "Human", "0x00000001", "0x00050005", "0x00000000", "0x00000023", ""
0x0000FCCF, "EncSecurityFaceM03_Neon", "", "Human", "0x00000010", "0x00010005", "0x00000000", "0x00000023", ""
0x000102C2, "EncRobotModelA05_CrimsonFleet", "", "ModelARace", "0x00000108", "0x00240041", "0x00000000", "0x7FFF0023", ""
0x00010363, "Personnel_C_Generic_Voyager03_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x00480113", "0x00000000", "0x44BD0023", ""
0x00010365, "Personnel_C_Generic_Voyager02_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x003600D2", "0x00000000", "0x44BD0023", ""
0x00010367, "Personnel_C_Generic_Vista03_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x004C0122", "0x00000000", "0x44BD0023", ""
0x00010369, "Personnel_C_Generic_Vista02_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x003E00F0", "0x00000000", "0x44BD0023", ""
0x0001036B, "Personnel_C_Generic_Highlander03_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x00480113", "0x00000000", "0x44BD0023", ""
0x0001036F, "Personnel_C_Generic_Highlander02_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x003600D2", "0x00000000", "0x44BD0023", ""
0x00010371, "Personnel_C_Generic_Civshuttle03_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x003600D2", "0x00000000", "0x44BD0023", ""
0x00010373, "Personnel_C_Generic_Civshuttle02_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x00220087", "0x00000000", "0x44BD0023", ""
0x0001037A, "Personnel_C_Generic_Babylon02_Template_AutopilotAI", "", "AutopilotRace", "0x00000010", "0x003600D2", "0x00000000", "0x44BD0023", ""
0x00010B2E, "EncCrimsonFleet01Template", "Pirate", "Human", "0x00000008", "0x00020005", "0x00000000", "0x00000023", "CrimeFactionCrimsonFleet, GroupFactionCrimsonFleet"
0x00010B31, "EncCrimsonFleetFaceM01", "", "Human", "0x00000008", "0x00020005", "0x00000000", "0x5FBE0023", "CrimeFactionCrimsonFleet"
0x00010B32, "EncCrimsonFleetFaceM02", "", "Human", "0x00000008", "0x00020005", "0x00000000", "0x5FBE0023", "CrimeFactionCrimsonFleet"
0x00010B33, "EncCrimsonFleetFaceF01", "", "Human", "0x00000009", "0x00020005", "0x00000000", "0x5FBE0023", "CrimeFactionCrimsonFleet"
0x00010B34, "EncCrimsonFleetFaceF02", "", "Human", "0x00000009", "0x00020005", "0x00000000", "0x5FBE0023", "CrimeFactionCrimsonFleet"
0x00010B38, "EncCrimsonFleet02", "Pirate Brigand", "Human", "0x00000008", "0x0006000A", "0x00000000", "0x7F3D0023", ""
0x00010B3A, "LvlCrimsonFleet", "", "Human", "0x00000009", "0x00020005", "0x00000000", "0x7FBF0023", ""
0x00010BE0, "MQ101_MinerTroy", "Troy", "Human", "0x40000032", "0x00060000", "0x00000000", "0x00000023", "MQ101MinerFaction, PlayerAllyFaction"
0x00010BE3, "MQ101_MinerMale02", "Miner", "Human", "0x40000032", "0x00010000", "0x00000000", "0x00000023", "MQ101GenericMinerFaction, MQ101MinerFaction, PlayerAllyFaction"
0x00010BE4, "MQ101_MinerMale03", "Miner", "Human", "0x40000032", "0x00010000", "0x00000000", "0x00000023", "MQ101MinerFaction, PlayerAllyFaction, MQ101GenericMinerFaction"
